Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,HERPG,HER%,DRA@15,TD@15,GD@15,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
Afreeca Freecs,S8,KR,46,0.565,1.25,1802,84,1.502083333,10.1,8,6.3,5.3,45.7,41.3,1.83,48,0.43,50,0.5,0,384,0.76,51.2,35.4,1642,4.1,1.51,1.76
bbq Olivers,S8,KR,43,0.209,0.68,1638,-225,1.434722222,6.9,10.2,3.7,8.2,32.6,32.6,1.21,31.3,0.44,46.3,0.37,-0.5,-912,0.4,26,33.8,1433,3.6,1.42,1.31
Gen.G eSports,S8,KR,44,0.636,1.09,1804,102,1.438194444,8.6,7.9,6.7,4.6,38.6,61.4,2.36,67,0.5,53.7,0.73,0.2,660,0.64,56.1,35.5,1662,3.4,1.44,1.61
Griffin,S8,KR,41,0.683,1.72,1839,146,1.493055556,11.3,6.5,6.7,4.9,56.1,51.2,1.8,47.7,0.39,40,0.51,-0.1,-36,0.9,69.7,35.9,1716,3.4,1.27,1.68
Hanwha Life eSports,S8,KR,46,0.543,1,1781,30,1.413888889,9.3,9.3,6.8,5.2,56.5,67.4,1.85,51.8,0.59,61.4,0.63,0.3,-75,0.76,61.7,34.3,1667,3.7,1.41,1.58
Jin Air Green Wings,S8,KR,45,0.311,0.76,1680,-138,1.517361111,6.9,9.1,4.6,7.3,51.1,42.2,1.67,40.1,0.4,42.9,0.62,-0.2,-540,0.42,34.5,35.1,1541,3.8,1.52,1.75
Kingzone DragonX,S8,KR,43,0.651,1.19,1833,131,1.410416667,10.5,8.8,7,4.2,62.8,65.1,2.4,66.8,0.53,60.5,0.79,0.6,833,0.7,64.6,36,1712,3.5,1.35,1.66
KT Rolster,S8,KR,43,0.674,1.14,1819,115,1.513888889,10.2,8.9,7.4,4.8,60.5,62.8,2,59.1,0.49,56.8,0.56,0.5,787,0.88,63.7,35.6,1835,3.6,1.41,1.64
MVP,S8,KR,41,0.268,0.66,1655,-222,1.402083333,7.1,10.7,3.4,7.8,43.9,29.3,1.29,34.1,0.29,33.3,0.61,-0.6,-957,0.34,25.9,33.7,1595,3.1,1.16,1.43
SK Telecom T1,S8,KR,44,0.455,0.86,1766,-30,1.454166667,9,10.3,5.7,6.1,52.3,45.5,2.11,53.3,0.48,53.8,0.8,-0.1,-198,0.66,47.3,35.1,1737,3.7,1.46,1.55
