Player,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
Effort,ADC,1,0,4.5,3,2,6,5.1,305,0.75,8.6,156,0.84,0.6,0.08,0.26,-1370,-54,-1128,0,1,0,-
Effort,SUPPORT,43,0.698,3.6,0.8,2.3,7.4,1.1,233,0.691,6.2,106,2.89,1.82,0.42,0.53,-28,2,-6,0.256,0.14,0,-
Ellim,JUNGLE,9,0.667,6.3,1.7,1.7,8.9,5.2,336,0.808,11.9,202,1.67,0.55,0.43,0.43,109,0,247,0.222,0,0,-
FATE,MID,7,0.143,3.3,2.9,2.4,5.1,8.4,382,0.566,31.2,552,1.07,0.53,0.17,0.29,128,2,278,0.143,0.143,0,1
Faker,MID,44,0.682,5.6,2.9,1.4,5,9,401,0.665,26.6,465,1.23,0.53,0.29,0.22,197,2,87,0.205,0.091,0,6
Flawless,JUNGLE,43,0.395,2.5,2.1,3,5.4,5.1,309,0.715,12.4,227,1.94,0.71,0.59,0.45,-153,-3,-206,0.326,0.093,0,4
Fly,MID,33,0.394,2.8,2.1,2.5,5.1,7.3,341,0.646,21.4,377,1.07,0.48,0.23,0.24,-462,-17,-487,0.212,0.03,0,3
Ghost,SUPPORT,3,1,12.3,2,1,10.3,3.8,338,0.771,14.5,286,1.54,0.73,0.3,0.25,710,-1,382,0.667,0,0,-
Ghost,ADC,14,0.571,4,5.1,2.2,3.7,10.1,456,0.589,29.1,558,1.28,0.52,0.35,0.21,4,-2,80,0.143,0.071,0,-
GorillA,SUPPORT,36,0.361,2.8,0.5,2.5,6.4,0.8,214,0.675,7.7,124,2.18,1.61,0.21,0.51,-119,-1,58,0.139,0.111,0,-
GorillA,ADC,2,1,-,0,0,8,5.7,309,0.755,8.2,149,1.14,0.58,0.1,0.31,-553,-16,-750,0,0,0,-
Haru,JUNGLE,45,0.378,2.6,1.9,2.7,5.1,5.6,319,0.707,13.6,233,1.71,0.67,0.45,0.42,-20,2,39,0.333,0.111,0,3
Hoit,SUPPORT,13,0.385,2.7,0.5,2.2,5.4,1.1,225,0.624,9.2,159,2.8,1.62,0.48,0.49,34,-1,-17,0.308,0,0,-
Hoya,TOP,8,0.125,1.5,2.1,2.6,1.9,7.5,338,0.445,23.5,348,0.88,0.49,0.12,0.19,-611,-13,-248,0.25,0.25,0,-
HyBrid,ADC,37,0.432,3.6,4.9,2.3,3.3,9.9,446,0.661,32.5,616,1.19,0.35,0.43,0.08,-240,-9,-391,0.189,0.027,3,5
Ikssu,TOP,43,0.395,2.1,2,3.2,4.9,6.8,334,0.61,23,422,0.88,0.46,0.15,0.15,-330,-7,-190,0.186,0.14,0,11
Jelly,ADC,3,0.333,2.4,1.3,3,6,5,301,0.797,11.5,181,0.76,0.33,0.14,0.23,-1362,-43,-1506,0.333,0,0,-
Jelly,SUPPORT,41,0.439,2.7,0.9,2.7,6.4,0.9,224,0.658,8.9,154,2.45,1.55,0.32,0.51,-109,-1,-68,0.171,0.098,0,-
Joker,SUPPORT,6,0.167,1.8,0.3,3,5,1.1,213,0.44,6.8,106,2.83,1.91,0.4,0.53,88,6,12,0,0,0,-
Kabbie,ADC,2,0,3,0,1,3,6.3,292,0.482,7.8,123,0.82,0.35,0.14,0.19,-865,-19,-436,0,0,0,-
Kabbie,SUPPORT,43,0.372,2.3,0.4,2.6,5.6,1.1,213,0.629,7.6,113,2.58,1.83,0.35,0.58,-103,2,-357,0.279,0.163,0,1
Keine,MID,18,0.222,2.2,1.7,2.3,3.4,8.4,354,0.57,26.2,434,1.18,0.61,0.23,0.31,-90,2,-97,0.167,0.111,0,1
Kellin,SUPPORT,14,0.643,4.6,0.1,1.4,6.1,0.8,218,0.671,5,72,2.34,1.63,0.25,0.49,-19,0,-137,0.357,0,0,-
Keria,ADC,2,1,23,0.5,0.5,11,6,330,0.718,9.6,208,0.87,0.38,0.13,0.3,-234,-4,-156,0.5,0,0,-
Keria,SUPPORT,44,0.659,4.6,0.7,2.1,9,1,240,0.731,8.6,180,2.73,1.71,0.43,0.62,186,-2,57,0.25,0.136,0,-
Kiin,TOP,46,0.413,2.5,2.1,2.8,4.8,8.2,378,0.636,27.6,471,1.2,0.57,0.23,0.26,410,12,245,0.348,0.152,0,13
Lava,SUPPORT,1,1,3.3,4,3,6,1.5,297,0.714,16.6,342,2.79,1.26,0.82,0.27,78,-10,241,0,0,0,-
Lava,ADC,4,0.5,2.8,2,1.5,2.3,9.4,408,0.581,28.7,430,1.18,0.36,0.42,0.14,-729,-13,-310,0.25,0,0,-
Lava,MID,6,0.333,2.3,3,2.3,2.3,8.3,368,0.629,29.9,527,0.99,0.42,0.31,0.19,-373,-10,-341,0,0,0,-
Lehends,SUPPORT,41,0.341,2.6,0.5,2.8,6.9,1,219,0.744,9.9,160,2.51,1.59,0.38,0.53,-201,-1,-117,0.268,0.098,0,2
Lehends,ADC,4,0.75,3.2,1.3,2.3,6,6,319,0.676,11.9,223,0.92,0.43,0.13,0.25,-944,-40,-482,0,0,0,1
Leo,SUPPORT,1,1,-,2,0,5,3.2,286,0.7,15.7,259,2.4,0.86,0.89,0.12,291,13,1180,0,0,0,-
Leo,ADC,18,0.389,3.9,2.8,1.8,4.1,10,414,0.62,24.4,419,1.52,0.57,0.5,0.2,-138,1,-244,0.167,0.111,0,-
Life,ADC,5,0.6,5.6,0.2,1,5.4,6.7,333,0.44,6.4,112,0.74,0.55,0.09,0.26,3,-13,-395,0,0,0,-
Life,SUPPORT,25,0.76,5.5,0.8,1.8,9.2,0.9,235,0.671,8.8,167,2.68,1.67,0.33,0.45,29,-1,86,0.4,0.12,0,-
Lonely,TOP,12,0.417,2.6,2.4,3.1,5.5,7.8,361,0.68,26.1,398,1.2,0.56,0.21,0.26,-314,-7,-92,0.167,0.417,0,2
Malrang,JUNGLE,5,0,1.9,1.2,2,2.6,4.7,288,0.863,10.8,145,1.91,0.74,0.48,0.44,-481,-6,-719,1,0,0,1
Mia,SUPPORT,4,0.5,2.8,1.5,2.8,6.3,1.2,240,0.571,10,163,3.97,2.64,0.7,0.65,-82,-2,-559,0,0.5,0,-
Mystic,ADC,39,0.436,2.8,3.5,2.6,3.9,9.7,427,0.629,28.7,501,1.5,0.38,0.45,0.11,-49,4,-67,0.179,0.051,1,2
Mystic,SUPPORT,3,0.333,2.8,2,3,6.3,1.9,265,0.882,25.4,413,2.82,0.99,0.96,0.18,162,8,505,0.333,0.333,0,-
Naehyun,MID,1,0,-,0,0,0,9.5,349,0,26.1,172,1.4,0.47,0.36,0.18,-812,-15,-218,0,0,0,-
Nuclear,SUPPORT,1,1,10,1,1,9,2.8,310,0.833,20.9,363,3.33,1.04,1.07,0.23,572,7,563,0,0,0,-
Nuclear,ADC,25,0.4,3.6,2.8,1.8,3.6,9.5,416,0.62,23.5,404,1.12,0.43,0.32,0.15,-464,-11,-289,0.12,0.04,0,2
Nuguri,TOP,43,0.512,2.4,3,3.2,4.6,8.8,412,0.615,28.7,507,1.06,0.4,0.25,0.13,336,7,-30,0.302,0.279,0,14
OnFleek,JUNGLE,29,0.31,2.7,2,2.6,5,5.6,315,0.693,13.1,219,2.24,0.77,0.71,0.36,70,0,-13,0.207,0.069,0,7
Punch,JUNGLE,15,0.467,4,1.7,2,6.3,5,298,0.795,12.1,196,1.83,0.65,0.51,0.44,-16,3,9,0.467,0.067,0,-
Pyosik,JUNGLE,46,0.674,5.2,2.6,1.8,6.9,5.7,338,0.738,13.9,269,1.69,0.45,0.49,0.29,160,6,369,0.283,0.087,0,4
Quad,MID,3,0.667,5.8,5,1.7,4.7,7.8,385,0.728,24.8,449,1.64,0.67,0.47,0.23,-256,-16,-644,0,0.333,0,-
Rascal,TOP,44,0.705,4,2.3,1.9,5.1,8.1,381,0.578,21.7,366,1.03,0.48,0.2,0.21,116,3,59,0.25,0.091,0,7
Ray,TOP,6,0.333,1.8,2.2,2.8,2.8,7.5,352,0.451,18.8,269,0.92,0.38,0.16,0.25,-793,-25,-589,0.167,0.333,0,1
Roach,TOP,4,0.5,2.1,3.3,3.3,3.5,7.7,364,0.536,17.7,320,1.1,0.5,0.2,0.15,-492,0,215,0.25,0,0,1
Route,SUPPORT,1,1,10,2,1,8,2.2,292,0.909,34.7,674,2.92,1.01,0.84,0.27,51,-3,877,0,1,0,-
Route,ADC,24,0.292,3.4,3.3,2,3.5,10.1,421,0.642,27.8,451,1.35,0.46,0.44,0.23,-82,-2,-163,0.083,0,0,1
Ruler,SUPPORT,5,0.6,5.7,2,1.4,6,2.1,299,0.68,26.9,441,2.58,1.12,0.83,0.28,707,-3,668,0,0,0,-
Ruler,ADC,39,0.718,7.2,4.1,1.2,4.2,10.5,462,0.663,31.3,549,1.55,0.48,0.48,0.19,393,9,289,0.282,0.026,2,4
SS,ADC,4,0.25,2.6,2.8,1.8,1.8,8.8,379,0.495,27.7,534,1.22,0.3,0.48,0.13,-692,-6,-225,0.25,0,0,-
Secret,SUPPORT,39,0.385,2.3,0.3,3.3,7.3,1,218,0.617,6.9,129,2.48,1.64,0.35,0.5,-94,1,-21,0.231,0.128,0,-
ShowMaker,MID,43,0.512,4.9,2.9,1.7,5.1,8.7,394,0.707,25.7,461,1.32,0.54,0.24,0.24,56,3,-20,0.233,0.023,0,9
SoHwan,TOP,40,0.55,2.5,1.5,2.1,3.6,7.9,361,0.511,20.6,353,1.07,0.52,0.19,0.24,-166,-3,-106,0.1,0.15,1,6
Spirit,JUNGLE,33,0.455,3.5,2.1,2.4,6.3,5,307,0.718,14,252,2.41,0.86,0.72,0.4,-172,-4,-211,0.394,0.121,0,5
Summit,TOP,32,0.344,2.1,2,2.9,4,8.2,370,0.624,26.8,431,1.17,0.5,0.29,0.22,192,8,312,0.281,0.156,0,6
Sword,TOP,28,0.357,2,1.5,2.6,3.7,7.4,340,0.523,21.3,312,1.03,0.48,0.23,0.18,-410,-15,-133,0.25,0.071,0,4
Tarzan,JUNGLE,45,0.356,3.1,1.7,2,4.6,5.1,296,0.695,13.2,201,1.86,0.74,0.49,0.43,-152,-4,-151,0.4,0.067,0,2
Teddy,ADC,43,0.698,6.9,4.2,1.3,4.5,10.9,469,0.737,31.5,554,1.36,0.46,0.38,0.14,142,6,218,0.14,0.047,0,5
Teddy,SUPPORT,1,0,-,2,0,9,3.2,298,0.917,27,494,2.66,0.78,0.99,0,234,1,760,0,0,0,-
Tempt,MID,39,0.385,2.9,2.3,2.2,4.3,8.7,374,0.674,26.7,450,1.15,0.59,0.23,0.32,-175,-3,-88,0.231,0.077,0,2
Trigger,ADC,6,0.167,1.5,1.8,2.7,2.2,8.2,355,0.49,26.9,420,1.17,0.47,0.28,0.17,-542,-12,-143,0,0,0,1
TusiN,SUPPORT,42,0.476,3.3,0.5,2.2,6.8,1,229,0.735,8.1,139,2.38,1.58,0.32,0.51,129,0,170,0.31,0.119,0,-
TusiN,ADC,4,1,8,1,0.8,5,6.5,348,0.579,9.7,155,1.09,0.49,0.25,0.36,48,-16,-549,0.5,0,0,1
Ucal,MID,44,0.364,3,2.2,2.1,4.1,8.4,364,0.673,25.1,383,1.09,0.48,0.3,0.23,-193,-2,-150,0.341,0.159,0,5
Untara,TOP,9,0.556,2.2,1.1,2.1,3.6,7.2,332,0.466,22,365,0.92,0.43,0.13,0.2,-469,-3,17,0.111,0,0,-
Viper,ADC,43,0.372,4.3,3.2,1.5,3.3,10.2,428,0.659,32.6,516,1.33,0.44,0.39,0.19,119,7,187,0.186,0,0,4
Viper,SUPPORT,2,0,1,1,3.5,2.5,1.3,237,0.607,25.6,375,2.27,1.21,0.57,0.21,-101,-4,398,0.5,0,0,-
Vsta,SUPPORT,3,0.667,21,1.7,0.3,5.3,1.3,257,0.845,20.2,397,2.64,1.27,0.65,0.28,141,-13,128,0.333,0,0,-
Vsta,ADC,32,0.344,3.2,2.7,2.2,4.2,8.9,391,0.673,25.2,436,1.15,0.45,0.38,0.22,-529,-16,-321,0.281,0.125,0,1
Zenit,ADC,5,0.2,1.6,0.8,3.4,4.6,8,347,0.568,26,473,0.99,0.37,0.21,0.19,-1035,-18,-658,0,0,0,-
bono,JUNGLE,41,0.585,4.1,1.3,1.9,6.6,5.2,311,0.745,12.6,213,1.83,0.6,0.5,0.43,109,2,29,0.366,0.122,0,2
kurO,MID,46,0.522,4.7,2.3,1.5,4.6,8.3,369,0.699,25.2,431,1.26,0.57,0.29,0.26,-22,-2,220,0.261,0.043,0,6
