Player,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
ALL IN,MID,13,0.462,4.4,3.3,1.5,3.4,8.1,369,0.599,21.8,354,0.93,0.57,0.15,0.3,-404,-18,-598,0.308,0,0,2
Aiming,ADC,42,0.476,5,3.9,1.5,3.7,10.5,459,0.785,34.6,592,1.44,0.43,0.48,0.14,480,6,260,0.238,0.048,1,3
Aiming,SUPPORT,4,1,12,2.8,0.8,6.3,2.1,333,0.858,25.2,430,3.61,1.21,0.92,0.19,976,0,772,0.5,0,0,-
Bdd,MID,44,0.705,6.7,3.4,1.4,5.8,8.4,395,0.754,27,465,1.11,0.55,0.23,0.26,334,3,192,0.386,0.023,0,9
Ben,SUPPORT,2,0,0.7,0,4.5,3,0.8,197,0.304,12.7,193,2.13,1.38,0.22,0.47,-212,-6,-558,0,0.5,0,-
BeryL,ADC,4,1,5.9,2.5,1.8,7.8,6.5,371,0.701,20,373,1.54,0.66,0.29,0.27,178,-12,386,0.25,0,0,-
BeryL,SUPPORT,26,0.5,3.3,0.4,2.6,8.1,1.2,230,0.659,7.1,127,2.74,1.69,0.46,0.54,-74,3,-9,0.231,0,0,-
Canna,TOP,40,0.7,6.2,2.3,1.3,5.9,7.7,376,0.684,21.7,382,1.06,0.46,0.19,0.17,50,-2,141,0.225,0.15,0,5
Canyon,JUNGLE,43,0.512,3.3,1.5,2.3,6.3,5.3,311,0.679,12,220,1.8,0.66,0.5,0.4,-154,0,-217,0.419,0.14,0,3
Chovy,TOP,3,0.667,5,1.3,1,3.7,9.7,411,0.397,25.7,467,1.69,0.5,0.46,0.18,880,26,550,0,0.333,0,1
Chovy,MID,43,0.674,5.6,3.3,1.5,5.1,9.3,413,0.658,28.8,555,1.42,0.52,0.37,0.22,425,18,478,0.116,0.163,0,13
Clid,JUNGLE,44,0.705,5.1,2.2,1.8,6.8,5.5,331,0.742,13.1,227,2.03,0.67,0.59,0.36,313,0,172,0.614,0.045,0,7
Cover,MID,25,0.52,2.4,2.2,3,5,8.7,384,0.526,25.3,474,0.95,0.33,0.26,0.19,-50,4,-69,0.08,0.04,0,2
CuVee,TOP,45,0.378,1.9,2.1,3.1,3.7,7.5,358,0.597,24.1,415,1.07,0.52,0.22,0.25,-101,-4,-314,0.178,0.178,0,8
Cuzz,JUNGLE,35,0.686,6.1,1.5,1.4,7,5.4,312,0.745,14.9,261,2.28,0.84,0.58,0.37,49,2,205,0.371,0.114,0,1
Deft,ADC,44,0.659,4.9,4.2,1.8,4.8,10,450,0.704,28.6,566,1.3,0.46,0.35,0.18,515,15,481,0.159,0.023,0,2
Deft,SUPPORT,2,1,-,6.5,0,7.5,2.7,388,0.889,31.4,686,2.56,1.1,0.47,0.19,1057,-7,802,0.5,0,0,-
Doran,TOP,43,0.674,3.5,2.2,2.2,5.5,8.3,383,0.591,19.8,395,1.04,0.5,0.16,0.19,140,3,131,0.186,0.233,0,10
Dove,MID,37,0.405,3.1,2.2,1.9,3.9,8.4,374,0.592,25.8,407,1.1,0.5,0.25,0.22,-40,-3,-71,0.135,0.162,0,5
Dread,JUNGLE,13,0.308,2.1,1.3,2.8,4.8,4.8,286,0.716,11.2,185,1.88,0.73,0.5,0.38,-102,-9,-95,0.615,0.077,0,-
