Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,HERPG,HER%,DRA@15,TD@15,GD@15,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
Afreeca Freecs,S7,KR,46,0.543,1.11,1810,48,1.5375,11.6,10.5,6.7,5.8,37,50,2.17,55.7,0.13,50,0.54,-0.1,-319,0.76,52.9,32.9,1837,4.1,1.03,1.56
bbq Olivers,S7,KR,44,0.364,0.92,1713,-136,1.488888889,9.9,10.8,4.8,7.4,36.4,34.1,1.8,46.7,0,0,0.48,-0.6,-803,0.61,33.5,32,1776,3.7,0.88,1.29
Jin Air Green Wings,S7,KR,44,0.318,0.84,1719,-119,1.710416667,11.3,13.4,5,7.9,52.3,40.9,1.68,38.1,0.09,44.4,0.39,-0.1,-366,0.64,37.3,32.1,1882,3.8,1.01,1.43
Kongdoo Monster,S7,KR,45,0.267,0.68,1697,-176,1.572222222,8.6,12.7,4.4,7.8,37.8,44.4,1.13,29.6,0.02,10,0.33,-0.4,-919,0.73,42,32.1,1711,3.9,0.96,1.48
KT Rolster,S7,KR,44,0.659,1.21,1846,120,1.571527778,13.4,11.1,8,4.8,65.9,75,2.16,55.9,0.18,61.5,0.55,0.6,1368,0.93,61.4,32.1,2110,3.9,1.04,1.5
Longzhu Gaming,S7,KR,45,0.444,0.88,1778,-14,1.559722222,11.1,12.6,5.9,6.4,51.1,48.9,1.87,50,0.04,25,0.38,0,9,0.78,47.3,32.4,1953,3.7,0.83,1.28
MVP,S7,KR,45,0.511,0.84,1760,-67,1.519444444,11.7,14,5.6,6.5,55.6,40,2.07,48.1,0.2,52.9,0.51,-0.2,-527,1.11,54.3,31.4,1952,3.5,0.82,1.34
ROX Tigers,S7,KR,47,0.447,0.89,1784,-59,1.481944444,11.9,13.3,5.9,6.8,46.8,51.1,1.83,49.3,0.15,46.7,0.64,0.2,-105,0.68,39.5,32,1898,4,1.12,1.5
Samsung Galaxy,S7,KR,42,0.714,1.34,1865,158,1.509027778,12.1,9,7.9,4.5,69,64.3,2.29,61.5,0.12,55.6,0.4,0.3,936,0.98,64.2,33.3,1965,3.7,0.99,1.43
SK Telecom T1,S7,KR,42,0.762,1.7,1936,272,1.513888889,15.2,8.9,8.1,4.3,50,52.4,2.29,66.6,0.45,95,0.57,0.2,861,0.98,69,33.6,2222,3.4,0.75,1.47
