Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,HERPG,HER%,DRA@15,TD@15,GD@15,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
Afreeca Freecs,S9,KR,43,0.326,0.71,1700,-172,1.449305556,9.8,13.8,4.3,7,48.8,44.2,2,44.1,0.51,53.7,0.65,0.1,-394,0.51,32.3,32.5,1585,4.1,1.64,1.76
DAMWON Gaming,S9,KR,42,0.595,1.11,1863,96,1.427083333,11.6,10.4,6.6,5.1,33.3,50,2.52,59.9,0.5,50,0.95,0,-200,0.74,59.2,35.4,1737,3.9,1.39,1.77
Gen.G eSports,S9,KR,44,0.364,0.82,1748,-80,1.473611111,8.6,10.5,5,7.1,47.7,31.8,1.89,41.9,0.27,27.9,0.52,-0.1,-293,0.48,39.6,34.2,1516,4.1,1.49,1.89
Griffin,S9,KR,39,0.795,2.39,1952,283,1.371527778,14,5.8,7.7,2.9,79.5,71.8,2.28,61.2,0.62,63.2,0.64,0.4,2245,0.72,71.2,37.1,1727,3.8,1.31,1.78
Hanwha Life eSports,S9,KR,41,0.488,0.89,1758,-45,1.376388889,9.4,10.6,5.5,6,39,48.8,2.07,46.4,0.54,55,0.8,0,-253,0.71,53.9,33.5,1526,4.1,1.54,1.82
Jin Air Green Wings,S9,KR,38,0.079,0.54,1629,-306,1.404166667,6.6,11.9,2.1,9.3,44.7,34.2,1,21.5,0.47,47.4,0.47,-0.3,-1668,0.16,12.5,33,1385,3.8,1.51,1.6
Kingzone DragonX,S9,KR,39,0.692,1.25,1867,119,1.417361111,12.4,9.9,7.1,5.2,51.3,59,2.59,57.4,0.54,53.8,1,0,311,0.85,63.2,34.2,1789,4.1,1.67,1.88
KT Rolster,S9,KR,42,0.31,0.75,1717,-154,1.456944444,10.2,13.6,4.4,7.3,42.9,26.2,1.6,35.7,0.36,36.6,0.43,-0.4,-549,0.48,38.3,33,1627,3.6,1.36,1.68
Sandbox Gaming,S9,KR,44,0.636,1.06,1860,113,1.439583333,11,10.4,7.5,4,45.5,75,2.95,67.9,0.48,50,0.93,0.2,460,0.91,66.7,35.6,1795,3.9,1.53,1.95
SK Telecom T1,S9,KR,44,0.705,1.42,1871,141,1.435416667,11.6,8.1,7.5,4,68.2,56.8,2.77,61.7,0.64,63.6,0.84,0.2,343,0.75,64,35.6,1794,4.4,1.54,1.69
