Player,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
ADD,TOP,40,32.50%,1.9,1.2,2.6,3.8,8.8,383,63.10%,26.9,503,1.5,0.8,0.25,0.22,21,-4,-178,15%,25%,0,7
Aiming,ADC,7,71.40%,6.1,4.7,1.4,4,11.2,472,78.10%,29.4,530,1.75,0.56,0.68,0.23,-117,-7,-159,42.90%,28.60%,0,-
Ambition,JUNGLE,27,51.90%,2.2,1.1,2.4,4.2,5.7,320,63.70%,9.6,171,2.45,1.21,0.65,0.33,-28,2,139,22.20%,7.40%,0,1
Bang,ADC,46,50%,9.6,3,0.8,4.3,11,449,72.60%,34.2,650,1.47,0.55,0.35,0.14,-58,1,54,21.70%,6.50%,0,3
Bdd,MID,40,82.50%,7.6,3.3,1.2,5.9,10.1,440,71.90%,23.6,484,1.16,0.67,0.24,0.15,151,5,188,30%,5%,0,10
Beyond,JUNGLE,40,32.50%,1.9,1.1,3,4.5,5.1,305,65.90%,9.5,179,2.7,1.37,0.65,0.39,14,1,90,37.50%,10%,0,1
Blossom,JUNGLE,18,61.10%,2.4,1.4,3.2,6.1,5.3,322,68.70%,8.6,169,3.15,1.64,0.7,0.3,-297,-3,-271,38.90%,27.80%,0,2
CoreJJ,SUPPORT,44,50%,3.6,0.5,1.6,5.3,2,257,74.40%,7,122,2.56,1.48,0.47,0.47,-80,-2,-227,18.20%,9.10%,0,1
Crazy,TOP,44,38.60%,3.3,1.8,1.6,3.5,9,389,62.00%,26.4,434,1.26,0.69,0.25,0.17,60,7,157,18.20%,13.60%,0,7
Crown,MID,44,50%,2.4,1.7,2.3,3.8,9.5,386,66.30%,27.8,491,1.36,0.7,0.33,0.29,-96,3,28,20.50%,13.60%,0,3
CuVee,TOP,44,50%,2.2,1.5,2.3,3.3,9.2,393,63.30%,24.5,441,1.28,0.65,0.23,0.21,-212,-7,-100,20.50%,13.60%,0,9
Cuzz,JUNGLE,5,100%,4.2,2.6,1.8,5,5.9,370,68.90%,10.7,226,4.19,1.96,0.84,0.38,312,11,57,60%,20%,0,-
Deft,ADC,43,65.10%,5,2.9,1.4,4.1,10.8,454,66.60%,33,653,1.46,0.54,0.46,0.16,416,7,244,23.30%,7%,0,1
Edge,MID,41,22%,2.6,2.3,2.1,3.1,9.4,377,72.20%,27.8,444,0.97,0.58,0.24,0.2,-114,-2,-15,17.10%,12.20%,0,2
Effort,SUPPORT,19,52.60%,5.6,0.5,1.6,8.3,2.2,280,81.20%,7.3,143,2.46,1.39,0.42,0.47,-114,-4,-11,15.80%,0%,0,-
Faker,MID,46,50%,4.3,3.1,1.8,4.6,10.3,426,74.10%,29.6,548,1.3,0.61,0.33,0.13,-39,1,68,19.60%,10.90%,0,9
Ghost,ADC,44,38.60%,3.4,2.5,1.7,3.3,10.2,415,63.50%,26.2,445,1.31,0.46,0.47,0.15,-288,-8,-141,25%,9.10%,0,1
GorillA,SUPPORT,40,82.50%,5,0.4,1.7,8.1,2.2,281,66.70%,6.7,139,2.39,1.51,0.4,0.49,-19,3,42,25%,12.50%,0,-
Grace,MID,36,44.40%,3.9,2.8,1.8,4.4,10,408,71.10%,29.2,545,1.02,0.55,0.24,0.13,-202,-1,-131,22.20%,5.60%,0,7
Haru,JUNGLE,17,47.10%,2,1.5,2.3,3.1,6,331,69.70%,10.5,187,2.65,1.32,0.55,0.26,-17,5,163,23.50%,0%,0,2
