Player,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
ADD,TOP,45,0.511,2.4,1.8,3,5.4,7.7,363,0.585,23.6,450,-,0.59,0.17,0.15,-69,-1,-142,0.222,0.089,0,8
Ambition,JUNGLE,12,0.583,3,2.8,2.8,5.8,5.6,364,0.655,15.7,323,-,0.84,0.35,0.22,201,16,444,0.25,0.167,0,2
Bang,ADC,42,0.762,6.5,3.5,1.5,6.2,9.1,428,0.612,27.3,601,-,0.44,0.18,0.07,336,11,143,0.071,0.095,0,3
Beyond,JUNGLE,45,0.511,2.6,3,3.1,5.2,5.6,358,0.669,16.9,331,-,0.78,0.39,0.23,-53,6,145,0.356,0.111,0,4
Bless,JUNGLE,44,0.364,2.2,1.7,2.7,4.3,5.1,334,0.614,15.2,259,-,0.71,0.4,0.16,-256,2,-65,0.318,0.159,0,6
CoreJJ,SUPPORT,35,0.714,5.4,0.8,1.5,7,1,277,0.634,13.4,268,-,1.39,0.5,0.35,48,-1,62,0.114,0,0,1
Crash,JUNGLE,45,0.444,2.7,2.7,2.6,4.5,5.2,351,0.662,14.8,289,-,0.79,0.37,0.19,-4,-3,7,0.378,0.067,0,6
Crazy,TOP,41,0.366,3.6,1.7,1.8,4.8,8.1,356,0.593,20.9,368,-,0.57,0.09,0.1,-19,4,23,0.171,0.146,0,4
Crown,MID,42,0.714,4.2,3.5,1.9,4.2,9.4,425,0.588,28.5,567,-,0.6,0.2,0.17,344,10,292,0.429,0.048,0,15
CuVee,TOP,42,0.714,3.8,1.5,1.9,5.6,8.1,377,0.578,19.8,378,-,0.52,0.16,0.1,145,3,200,0.333,0.048,0,11
Deft,ADC,44,0.659,4.7,2.7,1.8,5.7,9,410,0.588,27.8,590,-,0.46,0.28,0.13,450,8,157,0.182,0,0,7
Edge,MID,45,0.267,3,2.5,2,3.4,9.1,386,0.689,25.1,430,-,0.44,0.18,0.13,-202,-7,-140,0.2,0.133,0,3
Expession,TOP,45,0.444,2.8,1.8,2.5,5,8.3,373,0.585,21.1,407,-,0.47,0.09,0.06,20,-1,-30,0.2,0.2,0,5
Faker,MID,42,0.762,4.7,4.7,2.1,5.3,9.3,438,0.653,25.2,560,-,0.46,0.18,0.09,128,4,231,0.214,0.119,0,16
Fly,MID,45,0.444,3.5,3.2,2.2,4.3,8.8,396,0.637,25.3,493,-,0.56,0.2,0.13,-143,-7,-71,0.2,0.133,0,12
Ghost,ADC,44,0.364,3.2,2.6,2.2,4.4,9,386,0.667,26.1,465,-,0.38,0.2,0.09,-320,-7,-168,0.114,0.068,0,4
GorillA,SUPPORT,45,0.444,2.5,0.6,3,6.7,0.8,256,0.64,11.9,237,-,1.45,0.42,0.35,-60,-1,98,0.244,0.067,0,2
GuGer,SUPPORT,41,0.268,2.2,0.4,2.7,5.5,0.9,249,0.656,13.5,234,-,1.58,0.48,0.4,-165,-3,-127,0.244,0.098,0,1
Haru,JUNGLE,30,0.767,4.2,3.6,1.9,4.4,5.9,387,0.672,16.1,305,-,0.75,0.36,0.23,449,5,308,0.567,0.167,0,12
Huni,TOP,33,0.758,5.1,2.8,1.9,7.1,9,421,0.597,24.1,559,-,0.48,0.11,0.07,33,-3,10,0.273,0.121,0,15
Ian,MID,45,0.511,2.6,2.9,2.9,4.6,8,376,0.595,24.2,478,-,0.54,0.21,0.13,-294,-7,-417,0.178,0.133,0,8
Ikssu,TOP,32,0.25,2.4,1.5,2.7,5,7.7,340,0.584,19.3,350,-,0.52,0.11,0.08,-200,-3,-72,0.188,0.063,0,7
KeY,SUPPORT,47,0.447,2.7,0.7,3,7.3,1.1,265,0.67,11,211,-,1.55,0.66,0.46,13,1,-168,0.234,0.106,0,-
Kramer,ADC,46,0.543,5.6,2.6,1.4,5,9.3,408,0.636,25.1,471,-,0.49,0.32,0.13,-228,-6,-47,0.087,0.022,1,2
Kuzan,MID,44,0.318,3.4,3.1,2.2,4.2,8.8,383,0.638,25.7,485,-,0.55,0.23,0.12,-71,1,-115,0.205,0.045,0,13
Lindarang,TOP,19,0.316,2.5,1.4,2.7,5.2,7.5,347,0.619,19.6,341,-,0.6,0.09,0.16,-248,-9,-323,0.211,0.053,0,-
MaHa,ADC,45,0.511,3.4,2.8,2.3,5.2,8.6,390,0.636,24.3,481,-,0.35,0.19,0.07,-225,-7,-307,0.222,0.044,0,3
MaRin,TOP,46,0.543,3.1,2,2.4,5.3,9,392,0.646,23.2,422,-,0.5,0.12,0.06,120,7,238,0.152,0.217,0,13
Mata,SUPPORT,44,0.659,3.6,0.8,2.3,7.6,0.8,269,0.616,8.7,182,-,1.61,0.47,0.46,184,-1,127,0.295,0.068,0,1
Max,SUPPORT,45,0.511,2.9,1.3,2.7,6.7,1.3,273,0.643,10.9,212,-,1.21,0.37,0.24,115,7,304,0.222,0.067,0,3
Mickey,MID,47,0.447,2.7,4.4,3.3,4.4,9.2,418,0.737,29.9,565,-,0.58,0.19,0.15,169,2,-112,0.191,0.234,0,19
