Player,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
Mightybear,JUNGLE,16,0.625,3.9,2.7,2.3,6.1,4.9,356,0.643,15,304,-,0.95,0.35,0.25,66,3,-53,0.188,0.125,0,-
Mowgli,JUNGLE,9,0.667,3.5,2.7,2.2,5,5.2,350,0.693,14.3,265,-,0.94,0.49,0.28,-227,5,-16,0.111,0.333,0,1
Part,TOP,3,0.333,1.6,0.7,2.7,3.7,7,307,0.662,22.7,361,-,0.34,0.13,0.1,-740,-17,-226,0,0.333,0,-
PawN,MID,44,0.659,3.4,3.5,2.5,4.8,8.8,407,0.618,24.1,510,-,0.5,0.23,0.14,151,-1,212,0.273,0.068,0,9
Peanut,JUNGLE,36,0.722,5.1,3.7,1.8,5.5,5.3,374,0.671,13.7,293,-,0.72,0.38,0.12,325,3,224,0.389,0.028,0,7
PraY,ADC,45,0.444,2.9,2.9,2.4,4.3,9.2,403,0.618,26.9,526,-,0.44,0.2,0.09,196,8,33,0.244,0.022,0,5
Profit,TOP,9,0.778,8.7,2,1.1,7.7,8.6,385,0.71,21.3,429,-,0.54,0.11,0.08,-133,-1,-188,0,0.222,0,1
Punch,JUNGLE,45,0.267,2,2.1,3,3.9,4.4,319,0.697,13.8,237,-,1.01,0.48,0.28,-189,-6,-188,0.311,0.133,0,1
Raise,JUNGLE,7,0.571,2.8,1.9,2.3,4.6,4.4,339,0.723,15.2,243,-,1,0.43,0.35,-289,-10,-335,0.429,0.143,0,-
Roach,TOP,45,0.267,1.8,1.2,2.7,3.8,8.1,347,0.516,18.7,315,-,0.54,0.13,0.09,-358,-8,-184,0.089,0.156,0,7
Ruler,ADC,34,0.735,5.2,3.1,1.5,4.7,9.1,416,0.578,24,486,-,0.38,0.21,0.13,122,0,73,0.118,0.029,0,2
SS,ADC,45,0.267,2.7,2.3,2.2,3.7,9.7,398,0.684,29.2,505,-,0.32,0.22,0.06,2,1,138,0.222,0.089,0,5
Sangyoon,ADC,47,0.447,4.2,2.9,1.9,5.1,8.9,400,0.675,23.8,463,-,0.37,0.16,0.12,-310,-12,-107,0.191,0.043,0,1
Score,JUNGLE,44,0.659,4.6,3.8,2,5.5,4.9,367,0.692,15.6,331,-,0.74,0.38,0.21,280,-3,108,0.477,0.136,0,9
Secret,SUPPORT,4,0.25,1.7,0.3,3.8,6,0.6,240,0.683,9.8,130,-,1.54,0.43,0.39,-243,-2,-208,0.25,0.25,0,-
SeongHwan,JUNGLE,31,0.355,2.4,2.2,3.2,5.3,4.5,324,0.642,16.6,306,-,0.91,0.4,0.31,-90,-2,-307,0.387,0.097,0,3
Shy,TOP,28,0.536,3.6,1.6,2,5.8,8.5,380,0.584,18.9,363,-,0.48,0.09,0.07,269,4,31,0.143,0.036,0,5
Smeb,TOP,44,0.659,3.3,2.6,2.5,5.7,8.6,393,0.618,23.7,497,-,0.54,0.13,0.1,304,4,121,0.318,0.068,0,18
SnowFlower,SUPPORT,44,0.318,2.3,0.9,3.3,6.8,0.9,252,0.669,11,211,-,1.42,0.44,0.47,14,0,-166,0.25,0.114,0,2
SoHwan,TOP,12,0.5,2.6,2,2.8,5.3,8.1,370,0.617,24,477,-,0.56,0.13,0.1,1,2,2,0.167,0.083,0,3
Spirit,JUNGLE,37,0.514,3.6,2.7,2.2,5.3,5,348,0.681,15.4,278,-,0.94,0.41,0.32,-86,-2,-75,0.324,0.108,0,5
Stitch,ADC,8,0.625,4.3,1.8,1.6,5.3,8.7,389,0.523,20.8,381,-,0.34,0.25,0.08,-103,0,15,0,0.125,0,2
Teddy,ADC,44,0.318,4.2,3,1.9,4.9,9.8,408,0.674,27.5,522,-,0.45,0.23,0.09,71,6,118,0.159,0.045,0,4
Tempt,MID,44,0.364,3.4,3.4,2.1,3.7,9,391,0.659,26.3,483,-,0.53,0.18,0.16,-38,2,-65,0.159,0.114,1,13
Totoro,SUPPORT,44,0.364,3.5,0.6,2,6.4,0.8,250,0.66,11.3,202,-,1.5,0.42,0.36,-121,-1,-96,0.091,0.136,0,1
TusiN,SUPPORT,46,0.543,3.3,0.8,2.4,7.2,0.9,264,0.652,10.2,186,-,1.58,0.44,0.4,-79,0,-97,0.109,0.174,0,2
UmTi,JUNGLE,37,0.27,2.2,2.8,3.5,4.8,4.8,325,0.623,15.2,286,-,0.86,0.42,0.21,-224,-3,-169,0.405,0.216,0,6
Wolf,SUPPORT,42,0.762,5.5,0.7,1.8,9.3,1,281,0.666,10.2,225,-,1.28,0.6,0.38,127,0,150,0.119,0.095,0,-
Wraith,SUPPORT,7,0.714,3.1,0.6,2.6,7.3,1,249,0.55,6.7,118,-,1.39,0.47,0.48,-305,3,-322,0.143,0,0,-
blank,JUNGLE,6,1,9.2,4.3,1.7,11,4.7,388,0.703,14.2,367,-,0.92,0.47,0.29,-44,-11,-172,0.333,0.167,0,1
kurO,MID,46,0.543,3.7,3.5,2.1,4.4,8.7,398,0.635,26.3,483,-,0.56,0.25,0.13,-19,2,220,0.196,0.065,0,9
