Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,HERPG,HER%,DRA@15,TD@15,GD@15,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
Afreeca Freecs,S8,KR,41,0.683,1.35,1933,146,1.592361111,9.1,6.8,7.5,4.4,56.1,58.5,2.17,58.6,0.41,56.7,0.54,0,321,1.37,67.9,39.1,1775,5.5,1.52,2.42
bbq Olivers,S8,KR,44,0.386,0.97,1785,-104,1.659722222,8.5,8.8,5.4,7.4,52.3,38.6,1.52,35.5,0.55,60,0.27,-0.1,-238,1.11,49,36.5,1671,4.8,1.35,2.03
Jin Air Green Wings,S8,KR,44,0.432,1.04,1809,-43,1.690972222,9.8,9.4,6,6.9,50,50,1.93,44.6,0.43,50,0.52,0,-150,0.82,42.4,37.2,1871,4.7,1.08,1.93
Kingzone DragonX,S8,KR,40,0.825,1.9,2011,342,1.522916667,12.5,6.5,8.8,2.6,60,72.5,2.7,73.1,0.38,51.7,0.73,0.2,1060,1.28,83.1,38.8,2049,5.2,1.25,2.03
Kongdoo Monster,S8,KR,41,0.22,0.61,1679,-286,1.534027778,7.1,11.7,3.4,8.4,39,39,1.02,28.6,0.17,22.6,0.37,-0.1,-938,0.51,22.2,35.3,1593,4.5,1.34,1.8
KSV eSports,S8,KR,44,0.5,0.74,1797,-61,1.58125,7.6,10.2,5.5,6.7,40.9,45.5,1.93,54.4,0.32,41.2,0.57,-0.1,-403,0.61,38.6,37.5,1788,4.5,1.47,2.29
KT Rolster,S8,KR,43,0.651,1.32,1888,115,1.531944444,9.8,7.4,7.4,4.7,62.8,55.8,2.21,60.3,0.37,55.2,0.7,0.5,902,0.77,61.4,37.8,1932,4.9,1.42,2.1
MVP,S8,KR,40,0.325,0.68,1768,-142,1.545138889,7.7,11.3,4.2,7.8,42.5,45,1.83,42.8,0.43,53.1,0.6,-0.3,-93,0.73,33.3,36.2,1915,4.5,1.16,2
ROX Tigers,S8,KR,45,0.489,0.91,1816,-7,1.554166667,9.2,10.1,6.4,5.9,57.8,66.7,1.8,48.5,0.53,66.7,0.51,0.2,185,0.82,50.8,36,1825,4.7,1.13,1.86
SK Telecom T1,S8,KR,46,0.5,1.12,1851,51,1.632638889,9.4,8.4,6.2,5.8,39.1,30.4,2.17,54.3,0.33,40.5,0.63,-0.3,-559,0.87,52.4,37.4,1883,4.8,1.25,2.07
