Player,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
ADD,TOP,36,0.278,2.1,1.3,2.3,3.6,8.9,368,0.641,25.1,412,1.3,0.51,0.2,0.17,-220,-3,-184,0.194,0.194,0,1
Aiming,JUNGLE,1,1,-,5,0,4,13.3,523,1,41.1,450,2,0.51,0.61,0.13,1254,72,2381,0,0,0,-
Aiming,ADC,34,0.588,5,2.7,1.5,4.7,9.6,421,0.682,24.7,418,1.4,0.6,0.3,0.19,23,-2,-103,0.294,0.088,0,3
Ambition,JUNGLE,25,0.64,3.1,0.9,1.9,4.9,5.2,312,0.704,9.2,152,1.61,0.45,0.46,0.32,58,5,212,0.24,0.08,0,1
Ambition,MID,1,0,0.5,0,2,1,2.2,204,1,5.2,45,2.13,1.13,0.32,0.55,-2627,-134,-3840,0,0,0,-
Aries,ADC,4,0,1.1,1,3.5,3,8.7,363,0.553,24.2,343,1.1,0.55,0.19,0.17,199,8,134,0.5,0,0,-
Asper,SUPPORT,1,0,3,1,2,5,2,263,0.6,4.4,65,3.31,1.98,0.6,0.7,-579,20,146,0,0,0,-
Bang,ADC,40,0.45,4.8,2.2,1.3,4.1,9.7,409,0.67,32.7,572,1.28,0.52,0.26,0.16,-16,-4,75,0.275,0.025,0,6
Bang,JUNGLE,1,1,-,2,0,4,12.8,542,1,22.7,310,1.57,0.44,0.32,0.12,2312,99,1519,1,0,0,-
Bdd,ADC,2,1,7.7,3,1.5,8.5,8.4,398,0.64,30.5,644,0.82,0.49,0.06,0.18,647,4,675,0.5,0,0,2
Bdd,MID,41,0.634,4.7,3,1.5,4.2,9.1,399,0.633,25,439,1.08,0.5,0.16,0.2,101,4,84,0.195,0.024,0,13
Blossom,JUNGLE,5,0.2,1.5,2,3,2.4,6.6,348,0.659,20.5,311,1.41,0.31,0.42,0.25,-28,8,118,0.6,0,0,-
Brook,TOP,1,0,3.5,3,2,4,8.8,410,0.7,24.4,359,1.49,0.47,0.42,0.1,771,16,-38,1,0,0,-
Chovy,MID,31,0.71,9.3,3.7,0.9,4.7,9.9,426,0.7,26.4,449,1.18,0.45,0.26,0.11,65,1,105,0.161,0,0,4
Chovy,ADC,2,0.5,6.7,0.5,1.5,9.5,6.3,312,0.476,15.4,245,0.72,0.35,0.19,0.07,-1564,-26,-700,0,0.5,0,-
Clever,ADC,1,0,4,3,2,5,9.3,426,0.8,28.6,421,1.25,0.5,0.1,0.05,54,1,-726,0,0,0,-
CoreJJ,SUPPORT,44,0.636,3.9,0.4,1.6,5.9,1.5,243,0.748,7.6,125,2.51,1.48,0.36,0.5,28,-3,17,0.159,0.091,0,-
Crazy,TOP,43,0.209,2.2,1.5,1.9,2.6,8.5,356,0.53,24.2,343,1.11,0.5,0.16,0.15,-315,-5,-342,0.07,0.116,0,4
Crown,MID,3,0.667,3,1.3,1.3,2.7,9.3,376,0.735,34.2,537,1.26,0.56,0.15,0.23,253,0,76,0,0,0,-
CuVee,TOP,43,0.651,3.1,1.7,1.7,3.6,9.3,401,0.607,23.5,393,1.19,0.5,0.17,0.19,-22,-2,17,0.14,0.093,0,3
Cuzz,JUNGLE,12,0.417,1.8,1.2,2.6,3.4,6.4,345,0.552,15,213,1.58,0.35,0.46,0.31,36,15,260,0.333,0.25,0,1
Cuzz,MID,1,1,3.5,0,4,14,1,267,0.737,3.9,106,3.22,1.15,0.62,0.4,-3049,-153,-4100,0,0,0,-
Deft,ADC,43,0.674,4.4,2.3,1.5,4.4,9.7,419,0.641,31.5,576,1.23,0.47,0.27,0.13,177,1,94,0.256,0.047,0,2
Effort,SUPPORT,38,0.526,2.7,1.2,2.4,5.4,1.7,251,0.681,7.1,125,2.8,1.6,0.44,0.54,54,1,-204,0.316,0.132,0,1
Faker,ADC,1,1,6,1,1,5,11.1,453,1,37.6,514,1.25,0.4,0.2,0.08,472,18,1074,1,0,0,-
Faker,MID,24,0.375,3.1,2.6,2.3,4.4,9.5,398,0.717,25.1,447,1.28,0.48,0.26,0.14,271,21,499,0.25,0.125,0,5
Fly,ADC,1,0,0.3,0,3,1,4.8,252,1,16.8,147,0.81,0.45,0.23,0.26,-1830,-61,-926,0,1,0,-
Fly,MID,40,0.65,5.1,2.4,1.3,4.3,8.5,383,0.732,23.1,388,1.2,0.5,0.21,0.21,172,6,247,0.15,0.05,0,6
Ghost,ADC,39,0.231,2.1,1.4,2.1,3,9.1,374,0.563,26.2,382,1.13,0.54,0.22,0.21,-304,-9,-250,0.154,0.128,0,-
GorillA,SUPPORT,43,0.651,3.3,0.8,2,5.7,1.5,246,0.577,7.2,118,2.43,1.47,0.36,0.48,37,0,103,0.279,0.093,0,3
Grace,MID,44,0.318,2.7,1.8,1.7,2.9,9.1,371,0.604,25.6,381,1.01,0.45,0.16,0.18,-121,4,-109,0.227,0.136,0,-
Haru,JUNGLE,18,0.667,3.3,2.6,2.1,4.3,6.2,370,0.707,14.1,246,1.64,0.41,0.44,0.32,75,-8,-79,0.389,0.278,0,7
Ian,MID,41,0.268,2.9,2.2,1.9,3.3,8.8,370,0.657,23.6,387,1.25,0.58,0.25,0.24,-70,-5,-269,0.195,0.049,0,2
IgNar,SUPPORT,43,0.209,2.7,0.6,1.7,4.1,1.8,231,0.621,8.5,122,2.62,1.63,0.41,0.57,-58,1,-163,0.209,0.14,0,2
Justice,MID,1,0,0,0,1,0,9.2,338,0,13.2,225,1.04,0.62,0.2,0.5,-917,-34,-1125,0,1,0,-
KaKAO,JUNGLE,4,0,0.6,0.3,2.3,1,4.5,259,0.458,7.1,80,1.39,0.61,0.36,0.41,-1159,-30,-824,0,0,0,-
KeY,SUPPORT,45,0.556,4,0.6,1.6,6.1,1.8,252,0.685,7.7,123,2.72,1.53,0.44,0.55,14,2,-92,0.267,0.111,0,1
Khan,TOP,40,0.625,3.2,2.5,1.8,3.3,9.3,410,0.596,27.3,450,1.3,0.56,0.21,0.24,311,8,216,0.275,0.075,0,9
Kiin,TOP,46,0.565,3.9,2.5,1.6,3.8,9.7,419,0.629,27.2,450,1.28,0.52,0.19,0.15,300,7,227,0.196,0.13,0,15
Kramer,ADC,11,0.455,6.9,2,0.9,4.3,9.4,405,0.706,22.1,356,1.23,0.59,0.28,0.17,-469,-17,-388,0.182,0,0,-
Kuzan,MID,1,0,2,0,2,4,8.3,353,0.4,22.1,325,1.17,0.55,0.13,0.21,-814,-7,-731,0,0,0,-
Lava,MID,42,0.548,3.3,2.4,2,4.3,9.1,396,0.71,27.5,452,1.22,0.5,0.22,0.17,-21,-3,-14,0.238,0.024,0,7
Lava,ADC,3,0.667,4.7,3,2.3,8,6.9,360,0.856,20.1,413,1.22,0.44,0.25,0.15,-597,-30,-111,0.667,0,0,1
