Player,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
ADD,TOP,41,0.439,2.4,2.2,3.1,5.3,6.7,360,0.665,21.6,443,-,0.56,0.16,0.14,-264,-10,-442,0.268,0.122,0,10
Ambition,JUNGLE,40,0.6,3.1,1.6,2.4,5.8,4.8,359,0.657,16.6,341,-,0.81,0.54,0.17,80,3,313,0.35,0.175,0,4
Arrow,ADC,44,0.659,5.6,3.9,1.8,6,8.4,405,0.704,25.2,523,-,0.48,0.24,0.14,150,-3,27,0.182,0.023,0,1
Bang,ADC,41,0.683,6.3,3.7,1.5,5.7,9.3,428,0.711,30.4,712,-,0.44,0.19,0.07,208,10,296,0.22,0.122,0,3
Bdd,MID,27,0.259,3.3,3.3,2.3,4.3,8.2,374,0.742,29.5,539,-,0.46,0.12,0.09,-31,-1,77,0.185,0.074,0,8
Beyond,JUNGLE,41,0.439,2.7,2.2,3,6.1,5,364,0.761,17.3,359,-,0.65,0.4,0.11,-59,3,199,0.366,0.098,0,2
Blanc,MID,8,0.5,2.9,1.4,1.5,3,9,389,0.58,29.7,502,-,0.49,0.16,0.11,-4,-9,-280,0.125,0.125,0,-
Bless,JUNGLE,45,0.356,2.5,1.8,2.5,4.4,4.5,342,0.701,19.7,338,-,0.59,0.53,0.12,-79,0,-207,0.311,0.111,0,8
Bubbling,JUNGLE,1,0,3,1,2,5,3.5,290,0.857,22,314,-,0.98,0.46,0.29,-1531,-21,-19,0,0,0,-
Chaser,JUNGLE,23,0.261,3.5,2,2.2,5.5,4.2,337,0.743,15.6,305,-,0.82,0.52,0.23,159,1,75,0.348,0.043,0,1
Chei,SUPPORT,37,0.405,2.5,0.3,2.3,5.6,0.9,242,0.704,6.1,105,-,1.54,0.36,0.43,-77,-1,70,0.216,0.216,0,1
CoCo,MID,24,0.25,3.3,2.7,2.3,4.7,8.4,373,0.74,28.7,584,-,0.43,0.22,0.1,106,3,137,0.333,0.083,0,2
Comeback,SUPPORT,44,0.659,3.9,0.9,2.6,9.3,1.1,267,0.727,6.4,130,-,1.35,0.38,0.33,143,1,30,0.295,0.114,0,-
CoreJJ,SUPPORT,3,0,0.3,0.3,3,0.7,0.7,221,0.667,13.9,199,-,1.56,0.47,0.37,-531,-10,441,0,0,0,-
Crash,JUNGLE,18,0.556,4.2,2.8,1.8,4.7,5.5,393,0.747,15.4,328,-,0.73,0.53,0.13,465,8,552,0.444,0,0,-
Crazy,TOP,44,0.364,2.9,1.3,1.9,4.2,7.4,358,0.53,21.5,372,-,0.55,0.13,0.11,-153,0,-210,0.159,0.182,0,6
Crown,MID,40,0.6,3.3,3.4,2.2,4,9,402,0.699,31.8,657,-,0.47,0.21,0.11,195,6,147,0.175,0.1,0,9
Cry,MID,12,0.583,3.2,2.3,2.3,5.3,8.3,372,0.657,24.6,516,-,0.51,0.21,0.1,-241,-7,-207,0.25,0,0,-
CuVee,TOP,37,0.595,2.6,2.2,2.4,4.2,7.9,383,0.531,19.4,387,-,0.54,0.14,0.1,53,0,35,0.216,0.081,0,9
Duke,TOP,41,0.683,3.6,2.5,2.2,5.4,8.2,399,0.611,19.7,455,-,0.45,0.12,0.06,252,8,315,0.146,0.244,0,10
Emperor,ADC,8,0.25,2.3,2.4,2.8,3.9,8.4,375,0.66,27.1,502,-,0.39,0.25,0.07,-333,-5,-241,0.125,0.125,0,1
Expession,TOP,41,0.39,3,1.8,2.1,4.5,7.8,371,0.6,22.8,477,-,0.47,0.13,0.06,131,4,319,0.195,0.146,0,6
Faker,MID,41,0.683,4.3,4,2.1,5,8.6,410,0.667,29.4,677,-,0.51,0.21,0.09,126,5,115,0.244,0.049,0,15
Firetrap,TOP,1,0,1.5,1,2,2,5.6,310,0.6,10.4,160,-,0.43,0.06,0.03,404,-4,210,1,0,0,-
Fly,MID,44,0.659,5.3,2.9,1.8,6.5,8.2,385,0.66,28.1,580,-,0.49,0.19,0.14,-86,-3,73,0.295,0.023,0,6
Frozen,MID,17,0.588,3.9,2.1,1.8,4.8,8.2,384,0.682,29,595,-,0.47,0.16,0.12,2,-3,174,0.176,0.176,0,-
Fury,ADC,33,0.424,4.2,2.8,1.7,4.2,8.7,396,0.666,26.4,554,-,0.43,0.28,0.12,95,-1,-2,0.212,0.03,0,-
Ghost,ADC,2,0,1.2,0,2.5,3,8.3,337,0.429,22,301,-,0.43,0.16,0.09,-572,-11,-862,0,0,0,-
GorillA,SUPPORT,40,0.75,4.2,0.5,2.5,9.7,1,267,0.693,5.8,131,-,1.53,0.31,0.34,8,2,-43,0.275,0.05,0,-
Haru,JUNGLE,43,0.279,2.3,2.4,3,4.2,4.4,344,0.733,17.4,306,-,0.74,0.43,0.19,-11,0,-30,0.372,0.116,0,3
Helper,TOP,3,0.667,4,2,2,6,7.6,374,0.569,19.8,478,-,0.48,0.1,0.08,62,10,541,0.333,0,0,-
Ian,MID,41,0.439,3.7,3,1.9,4.1,7.8,372,0.635,29.2,600,-,0.47,0.2,0.11,-78,-2,-105,0.171,0.122,0,5
Ikssu,TOP,32,0.531,3.3,2.3,2.5,6,6.8,358,0.692,20,400,-,0.52,0.1,0.09,-69,-4,-240,0.25,0.25,0,4
KeY,SUPPORT,33,0.364,2.5,0.5,2.5,5.8,1.4,251,0.714,6.2,103,-,1.46,0.49,0.37,92,5,-20,0.394,0.091,0,-
Kramer,ADC,42,0.286,3.5,2.3,2,4.6,8.9,392,0.726,27.2,505,-,0.47,0.27,0.08,-151,-5,-49,0.167,0.048,0,4
Kuzan,MID,37,0.405,3.7,3,1.9,4.1,8.4,370,0.717,28.7,540,-,0.56,0.25,0.11,83,8,41,0.297,0.081,0,8
Lindarang,TOP,11,0.273,2.9,2,2.5,5.3,7.5,363,0.724,21.1,398,-,0.55,0.1,0.12,-61,-5,65,0.364,0.182,0,3
Lira,JUNGLE,36,0.528,4.1,2.6,2.1,6.3,4.8,363,0.767,17.3,345,-,0.7,0.5,0.15,-24,2,79,0.472,0.028,0,3
LokeN,ADC,45,0.356,3.4,2.3,1.8,3.9,8.8,388,0.695,24.5,433,-,0.36,0.21,0.09,46,0,210,0.311,0.022,0,3
MaHa,ADC,41,0.439,3.2,2.6,2.3,4.7,8.5,391,0.665,24.8,506,-,0.47,0.19,0.08,-358,-8,-421,0.146,0.049,0,3
MadLife,SUPPORT,44,0.273,2.8,0.5,2.4,6.4,0.9,248,0.747,7.8,134,-,1.25,0.42,0.3,-91,-2,-70,0.205,0.068,0,-
Max,SUPPORT,41,0.439,3.4,0.7,2.3,6.9,1.3,263,0.701,7.1,141,-,1.28,0.36,0.27,-33,0,177,0.22,0.122,0,-
Mickey,MID,43,0.465,3.1,2.8,2.7,5.5,8.8,393,0.703,30.8,620,-,0.54,0.18,0.12,4,0,-214,0.233,0.14,0,1
Peanut,JUNGLE,40,0.75,6.3,3.7,1.8,7.4,4.7,384,0.752,17.7,407,-,0.68,0.51,0.12,87,1,174,0.375,0.075,0,3
Pilot,ADC,45,0.422,4.4,3,1.6,3.8,9.1,397,0.703,27.7,521,-,0.36,0.24,0.06,-33,-3,-217,0.2,0.044,0,1
PraY,ADC,40,0.75,4.7,3.9,2.2,6.5,8.8,424,0.717,28.8,665,-,0.41,0.18,0.05,147,7,170,0.2,0.05,0,2
Pure,SUPPORT,41,0.39,3.1,0.4,2.2,6.5,1.1,256,0.719,6.4,130,-,1.43,0.44,0.37,21,0,-34,0.268,0.098,0,-
Ruler,ADC,40,0.6,3.7,2.9,2.1,4.9,9.3,406,0.69,26.1,533,-,0.33,0.27,0.09,-23,0,-41,0.3,0.1,0,4
Sangyoon,ADC,43,0.465,4.2,2.8,1.9,5.3,8.8,399,0.714,25.1,497,-,0.31,0.17,0.08,23,3,114,0.186,0.047,1,1
Score,JUNGLE,44,0.659,7,2.9,1.5,7.5,4.6,371,0.739,17.8,365,-,0.67,0.55,0.15,165,-2,-8,0.545,0,0,4
SeongHwan,JUNGLE,7,0.143,2.7,2.1,2.4,4.4,3.7,321,0.71,18.7,310,-,0.54,0.63,0.17,-515,-23,-980,0.429,0,0,-
Shy,TOP,16,0.438,2.8,1.1,1.8,4,7.6,367,0.475,17.8,311,-,0.45,0.08,0.08,-339,-5,-302,0.063,0.125,0,-
Sky,MID,17,0.294,2.3,1.9,2.5,3.8,8.6,368,0.622,30.4,548,-,0.43,0.15,0.11,-154,-4,-209,0.118,0.235,0,4
Smeb,TOP,40,0.75,4.7,3,2.2,7.4,7.7,401,0.709,21,480,-,0.49,0.11,0.07,228,6,156,0.4,0.225,0,9
SnowFlower,SUPPORT,43,0.465,3.3,0.7,2.5,7.6,0.9,254,0.725,6.3,122,-,1.3,0.36,0.31,-42,-1,-140,0.186,0.07,0,1
SoHwan,TOP,1,0,0.5,0,2,1,7.5,322,0.333,12.3,155,-,0.5,0.08,0.08,-1294,-27,-2370,0,1,0,-
Sweet,SUPPORT,8,0.5,2.8,0.6,4.1,10.8,0.8,263,0.847,6.8,157,-,1.21,0.29,0.25,-97,-4,66,0.25,0.125,0,-
Tempt,MID,45,0.356,2.9,2.8,2.1,3.5,8.4,371,0.671,28.6,505,-,0.48,0.15,0.12,-96,-3,-68,0.222,0.067,0,6
Totoro,SUPPORT,12,0.333,1.7,0.4,3.4,5.5,1.1,243,0.694,5.2,86,-,1.55,0.39,0.36,32,3,-274,0.333,0.083,0,-
TrAce,TOP,44,0.432,2.4,1.5,2.4,4.3,7,347,0.557,20.4,386,-,0.54,0.15,0.13,-71,-5,-20,0.159,0.114,0,3
Untara,TOP,28,0.179,2.3,1.1,2.5,4.6,6.9,338,0.655,17.9,314,-,0.53,0.13,0.08,-321,-8,-281,0.143,0.286,0,1
Winged,JUNGLE,45,0.422,3.5,1.7,1.9,5,4.6,344,0.705,16.9,305,-,0.71,0.62,0.23,-33,-1,-115,0.378,0.067,0,4
Wolf,SUPPORT,41,0.683,4.2,0.6,2.1,8.5,1,268,0.673,6.2,144,-,1.21,0.4,0.28,-45,-2,93,0.171,0.049,0,2
Wraith,SUPPORT,37,0.649,3.9,0.5,2,7.5,1,259,0.724,5.4,110,-,1.56,0.42,0.33,91,-1,-19,0.324,0.081,0,-
bengi,JUNGLE,14,0.571,3.5,1.9,2.2,5.8,4.1,342,0.709,14.4,327,-,0.73,0.52,0.13,-344,-6,-536,0.429,0,0,-
blank,JUNGLE,27,0.741,3.7,2,2.7,7.7,4.3,359,0.658,14.4,328,-,0.87,0.58,0.18,-270,-3,-431,0.222,0.259,0,2
kurO,MID,28,0.821,6.4,4.3,1.8,7.3,7.9,406,0.725,27.6,670,-,0.51,0.2,0.11,-39,-6,41,0.25,0.143,0,3
ssumday,TOP,44,0.659,4.5,3.3,2.1,6.4,8.1,399,0.696,22.5,470,-,0.54,0.17,0.1,269,7,339,0.5,0.136,0,11
