Player,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
Seize,JUNGLE,14,0.143,1.9,2,2.9,3.4,4.4,285,0.582,12.5,202,1.75,0.84,0.48,0.45,-255,-6,-380,0.429,0,0,1
Senan,SUPPORT,9,0.333,1.9,0.4,3.1,5.3,1.7,227,0.654,8.5,124,2.38,1.82,0.25,0.55,-190,0,33,0.111,0,0,-
ShowMaker,MID,42,0.595,4.5,2.9,1.8,5.3,8.9,403,0.67,25.4,439,1.14,0.52,0.24,0.24,-68,-1,18,0.071,0.119,0,6
Smeb,TOP,29,0.276,2,2.1,2.8,3.6,8.1,366,0.574,25.1,412,0.97,0.5,0.16,0.18,-197,-8,-293,0.069,0.172,0,9
SnowFlower,SUPPORT,42,0.31,2.4,0.5,3,6.6,1.7,249,0.708,8,126,2.59,1.48,0.44,0.44,-57,-4,-78,0.238,0.095,0,-
SoHwan,TOP,5,0.4,1.9,1.6,2.8,3.8,8,376,0.608,20.9,303,1.02,0.45,0.19,0.14,481,6,126,0.4,0.2,0,-
Spirit,ADC,5,0.4,3.3,1.2,2.4,6.8,6.9,321,0.704,21.6,366,1.28,0.67,0.32,0.32,-584,-19,519,0.4,0.2,0,1
Spirit,JUNGLE,5,0,0.8,1,3.2,1.6,5,288,0.71,16.5,222,1.71,0.76,0.38,0.37,-69,1,-92,0.2,0.2,0,-
Spirit,SUPPORT,4,0.5,2.6,1,5,12,0.7,243,0.828,11.2,218,2.25,1.21,0.36,0.47,-694,-14,574,0.25,0.25,0,-
Stitch,ADC,3,0,0.5,0.3,2,0.7,9.2,359,0.262,26.4,288,1.21,0.39,0.4,0.13,-634,-11,-386,0,0,0,-
Summit,TOP,43,0.651,3.6,2.7,1.9,4.1,9,408,0.613,25.5,457,1.06,0.49,0.22,0.18,164,8,282,0.163,0.163,0,8
Sword,TOP,39,0.795,3.9,2.7,1.7,3.9,8.9,408,0.494,20.2,345,1.04,0.5,0.21,0.17,176,1,197,0.179,0.051,0,5
TaNa,TOP,6,0,1.8,2.8,3.3,3,8.6,387,0.758,27.2,411,1.04,0.53,0.18,0.21,78,-1,-200,0,0.333,0,2
Tarzan,JUNGLE,39,0.795,9.1,3.3,1.2,7.3,5.5,357,0.752,17.1,294,2.16,0.92,0.47,0.47,592,3,564,0.615,0,0,10
Teddy,ADC,44,0.705,7.4,3.7,1,4.1,10.7,462,0.62,31,570,1.25,0.46,0.35,0.18,-18,2,-144,0.227,0.045,0,2
Tempt,MID,19,0.579,5.7,3.3,1.4,4.9,8.7,393,0.686,27.5,470,1.12,0.47,0.26,0.26,277,5,112,0.316,0.105,0,6
Thal,TOP,36,0.5,3.1,1.8,1.9,4.1,8.5,382,0.604,22.8,349,1.14,0.49,0.25,0.18,-150,-1,-80,0.139,0.139,0,7
TusiN,SUPPORT,39,0.692,4.6,0.8,1.9,8.1,1.9,275,0.69,7.1,127,2.53,1.68,0.37,0.51,174,4,75,0.308,0.128,0,3
Ucal,MID,22,0.273,2.2,1.9,3,4.5,8.3,356,0.642,21.9,361,1.07,0.61,0.2,0.35,7,6,-273,0.182,0.045,0,4
UmTi,JUNGLE,14,0.286,1.9,1.6,3.2,4.5,5.1,304,0.642,12.5,206,2.05,0.79,0.53,0.37,-64,6,26,0.071,0.214,0,1
Viper,ADC,39,0.795,8.7,3.7,0.9,4.6,10.6,462,0.588,26.9,464,1.43,0.42,0.4,0.12,387,9,204,0.41,0.026,1,2
Wizer,TOP,1,0,1,0,3,3,9.8,375,0.3,23.5,452,1.28,0.46,0.36,0.19,-787,2,-979,0,0,0,-
Zenit,ADC,26,0.346,2.8,2.8,2.4,3.9,9.5,409,0.713,29.4,508,1.07,0.36,0.3,0.18,-241,-1,-54,0.231,0.077,0,2
bono,JUNGLE,38,0.474,2.4,1.3,2.7,5.2,4.4,295,0.67,12.5,188,2.18,1.1,0.49,0.45,-277,-3,-229,0.263,0.132,0,1
kingen,TOP,13,0.385,2.6,2.7,2.8,4.6,8.8,400,0.57,25.5,409,1.07,0.45,0.23,0.23,-280,-5,-156,0.077,0.154,0,3
