순위, 이름,대표소환사명,최근 소속,M,W,L,승률,TK(,TD,TA,K/M,D/M,A/M,KDA,킬관여
252,전주환,NonameD,CTU,10,4,6,0.4,28,36,76,2.8,3.6,7.6,2.9,0.594
253,황원준,Raccoon,CTU,10,4,6,0.4,22,43,101,2.2,4.3,10.1,2.9,0.691
254,G.Georgallidis,HotshotGG,CLG.NA,10,4,6,0.4,15,27,51,1.5,2.7,5.1,2.4,0.66
255,P.Peng,Doublelift,Team Liquid,10,4,6,0.4,21,29,62,2.1,2.9,6.2,2.9,0.796
256,S.Chau,Chauster,CLG.NA,10,4,6,0.4,6,24,72,0.6,2.4,7.2,3.3,0.721
257,M.Tang,bigfatlp,CLG.NA,10,4,6,0.4,34,20,47,3.4,2,4.7,4.1,0.702
258,김지훈,Ace,KONGDOO MONSTER,10,4,6,0.4,29,34,43,2.9,3.4,4.3,2.1,0.677
259,진성민,Blanc,Jin Air Greenwings,8,4,4,0.5,11,12,24,1.4,1.5,3,2.9,0.583
260,변세훈,Gango,KT Rolster,16,4,12,0.25,40,45,68,2.5,2.8,4.3,2.4,0.652
261,김준철,Keine,SeolHaeOne Prince,18,4,14,0.222,31,41,61,1.7,2.3,3.4,2.2,0.57
262,정조빈,Mireu,한화생명e스포츠,14,4,10,0.286,16,41,53,1.1,2.9,3.8,1.7,0.578
263,최선휘,SunChip,Samsung Blue,19,3,16,0.158,74,90,88,3.9,4.7,4.6,1.8,0.634
264,강승현,KangQui,TmT,19,3,16,0.158,37,82,126,1.9,4.3,6.6,2,0.647
265,김재성,Small Brain,MVP White,10,3,7,0.3,4,32,41,0.4,3.2,4.1,1.4,0.556
266,신혁,5cean,StarTale,5,3,2,0.6,20,4,34,4,0.8,6.8,13.5,0.714
267,정건희,위지건희,CJ Entus Blaze,6,3,3,0.5,7,26,70,1.2,4.3,11.7,3,0.642
268,김기범,Raoching,인벤져스,4,3,1,0.75,10,9,41,2.5,2.3,10.3,5.7,0.678
269,박재권,PLL,MKZ,16,3,13,0.188,35,70,76,2.2,4.4,4.8,1.6,0.526
270,윤석준,Justice,SANDBOX Gaming,9,3,6,0.333,17,14,37,1.9,1.6,4.1,3.9,0.61
271,김찬희,Seize,Jin Air Greenwings,19,3,16,0.158,36,55,61,1.9,2.9,3.2,1.8,0.653
272,임혜성,DoubleLimft,Xenics Storm,6,2,4,0.333,6,21,45,1,3.5,7.5,2.4,0.578
273,김재열,when rain falls,VTG Mosters,12,2,10,0.167,48,37,62,4,3.1,5.2,3,0.643
274,윤두식,Prime,KT Rolster,6,2,4,0.333,15,22,35,2.5,3.7,5.8,2.3,0.698
275,고수진,GGoGGo,인벤저스,6,2,4,0.333,20,24,38,3.3,4,6.3,2.4,0.768
276,최원호,Ryuna,MiG Blitz,6,2,4,0.333,6,24,52,1,4,8.7,2.4,0.763
277,임두성,Violet,MKZ,12,2,10,0.167,16,52,77,1.3,4.3,6.4,1.8,0.622
278,이승민,Betkyo,MKZ,14,2,12,0.143,50,47,64,3.6,3.4,4.6,2.4,0.704
279,정재우,Ondal,IM #2,6,2,4,0.333,3,21,46,0.5,3.5,7.7,2.3,0.662
280,양승빈,Old B,Prime ITENJOY,6,2,4,0.333,12,15,26,2,2.5,4.3,2.5,0.578
281,노건우,Ninja,Prime Optimus,6,2,4,0.333,13,16,28,2.2,2.7,4.7,2.6,0.737
282,정명수,Kkyul,Ever8 Winners,6,2,4,0.333,5,21,38,0.8,3.5,6.3,2,0.748
283,M.Mildenberger,LaMiaZeaLoT,FnaticRC,5,2,3,0.4,18,20,32,3.6,4,6.4,2.5,0.752
284,L.Happonen,Cyanidefi,FnaticRC,5,2,3,0.4,10,21,35,2,4.2,7,2.1,0.69
285,E.Martinez,xPeke,Origen,5,2,3,0.4,22,17,27,4.4,3.4,5.4,2.9,0.774
286,M.Ratuszniak,Shushei,FnaticRC,5,2,3,0.4,18,18,32,3.6,3.6,6.4,2.8,0.754
287,P.Meisrimel,Mellisan,FnaticRC,5,2,3,0.4,0,14,47,0,2.8,9.4,3.4,0.692
288,B.Dimarco,Saintvicious,Team Curse,5,2,3,0.4,8,9,24,1.6,1.8,4.8,3.6,0.836
289,J.esfahani,Voyboy,Team Curse,5,2,3,0.4,25,10,19,5,2,3.8,4.4,0.594
290,Yu J.,Misaya,Team WE,5,2,3,0.4,25,25,38,5,5,7.6,2.5,0.762
291,Wu S.,YJTM,Team WE,5,2,3,0.4,8,10,39,1.6,2,7.8,4.7,0.61
292,Wei H.,CaoMei,Team WE,5,2,3,0.4,13,10,43,2.6,2,8.6,5.6,0.656
293,Gao X.,WeiXiao,Team WE,5,2,3,0.4,33,11,34,6.6,2.2,6.8,6.1,0.862
294,Cui Y.,if,Team WE,5,2,3,0.4,3,18,61,0.6,3.6,12.2,3.6,0.768
295,신민재,Vin,Jin Air Greenwings,18,2,16,0.111,19,67,81,1.1,3.7,4.5,1.5,0.593
296,김희찬,Rock,,10,2,8,0.2,31,46,36,3.1,4.6,3.6,1.5,0.625
297,박종원,Bliss,Samsung Galaxy,23,2,21,0.087,45,88,80,2,3.8,3.5,1.4,0.669
298,김동하,Hanlabong,Prime ITENJOY,6,2,4,0.333,10,17,20,1.7,2.8,3.3,1.8,0.553
299,이강표,SoaR,Rockhead,14,2,12,0.143,16,47,57,1.1,3.4,4.1,1.6,0.55
300,문지원,Spooky,Longzhu IM,5,2,3,0.4,2,14,21,0.4,2.8,4.2,1.6,0.506
301,장준수,Zzus,bbq olivers,4,2,2,0.5,1,9,19,0.3,2.3,4.8,2.2,0.298
302,전지원,Ray,kt rolster,6,2,4,0.333,13,17,17,2.2,2.8,2.8,1.8,0.452
303,김무진,Moojin,ESports Connected,8,2,6,0.25,7,19,45,0.9,2.4,5.6,2.7,0.896
304,이장훈,Brook,Afreeca Freecs,7,2,5,0.286,10,17,17,1.4,2.4,2.4,1.6,0.457
305,조세희,Motive,Rockhead,8,2,6,0.25,1,21,37,0.1,2.6,4.6,1.8,0.82
306,최상인,Mia,SeolHaeOne Prince,7,2,5,0.286,6,22,35,0.9,3.1,5,1.9,0.589
307,TowerFury,TowerFury,MKZ,5,2,3,0.4,15,17,29,3,3.4,5.8,2.6,0.588
308,losys,losys,MKZ,5,2,3,0.4,15,13,23,3,2.6,4.6,2.9,0.608
309,Junegi,Junegi,MKZ,5,2,3,0.4,0,16,35,0,3.2,7,2.2,0.584
310,SunRiver,SunRiver,MKZ,5,2,3,0.4,11,17,31,2.2,3.4,6.2,2.5,0.778
311,이정재,Proud,Afreeca Freecs,7,2,5,0.286,3,13,51,0.4,1.9,7.3,4.2,0.791
312,송수형,Quad,DragonX,3,2,1,0.667,15,5,14,5,1.7,4.7,5.8,0.727
313,이주현,Clozer,T1,2,2,0,1,13,2,4,6.5,1,2,8.5,0.52
314,조성용,CAD,한화생명e스포츠,12,2,10,0.167,20,49,60,1.7,4.1,5,1.6,0.793
315,김정균,kkOma,StarTale,3,1,2,0.333,6,7,18,2,2.3,6,3.4,0.72
316,채승엽,LOAD,Jin Air Stealths,8,1,7,0.125,34,33,38,4.3,4.1,4.8,2.2,0.691
317,김준환,GGyuAng,LG-IM #1,6,1,5,0.167,3,25,25,0.5,4.2,4.2,1.1,0.517
318,정재호,Scarlet,LG-IM #2,6,1,5,0.167,16,20,23,2.7,3.3,3.8,2,0.542
319,박민석,Stark,Xenics Blast,6,1,5,0.167,13,34,44,2.2,5.7,7.3,1.7,0.597
320,허원석,Quality,Xenics Blast,6,1,5,0.167,21,30,44,3.5,5,7.3,2.2,0.642
321,금동훈,Eve,Samsung Galaxy,2,1,1,0.5,4,6,13,2,3,6.5,2.8,0.695
322,이태경,테경롤,PRIME ITENJOY,6,1,5,0.167,9,30,31,1.5,5,5.2,1.3,0.677
323,손승용,Thy,PRIME ITENJOY,6,1,5,0.167,14,20,18,2.3,3.3,3,1.6,0.58
324,이성윤,Bory,PRIME ITENJOY,6,1,5,0.167,15,25,18,2.5,4.2,3,1.3,0.602
325,김대호,cvMax,Anarchy,3,1,2,0.333,5,11,21,1.7,3.7,7,2.4,0.71
326,W.Li,Scarra,Team Dignitas,3,1,2,0.333,11,11,17,3.7,3.7,5.7,2.5,0.877
327,C.Rivera,IwillDominate,Team Dignitas,3,1,2,0.333,7,7,22,2.3,2.3,7.3,4.1,0.87
328,A.Rengifo,Crumbzz,Team Dignitas,3,1,2,0.333,6,7,14,2,2.3,4.7,2.9,0.637
329,M.Santana,Imaqtpie,Team Dignitas,3,1,2,0.333,7,12,14,2.3,4,4.7,1.8,0.63
330,P.Miller,L0cust,Team Dignitas,3,1,2,0.333,2,10,16,0.7,3.3,5.3,1.8,0.48
331,V.Toll,CitizenWayne,Natus Vincere,3,1,2,0.333,17,11,16,5.7,3.7,5.3,3,0.903
332,M.Tingvall,kottenx,Natus Vincere,3,1,2,0.333,3,12,16,1,4,5.3,1.6,0.673
333,R.Pedersen,nesrilaS,Natus Vincere,3,1,2,0.333,5,12,22,1.7,4,7.3,2.3,0.823
334,P.Bennek,SAND,Natus Vincere,3,1,2,0.333,1,10,26,0.3,3.3,8.7,2.7,0.823
335,A.Giniers,Antogyn,Natus Vincere,3,1,2,0.333,9,12,19,3,4,6.3,2.3,0.767
336,Elf,Elf,RoMg,9,1,8,0.111,12,26,22,1.3,2.9,2.4,1.3,0.596
337,최상문,Rynder,Jin Air Falcons,2,1,1,0.5,11,5,8,5.5,2.5,4,3.8,0.84
338,이상진,Loyal,Jin Air Falcons,2,1,1,0.5,5,5,13,2.5,2.5,6.5,3.6,0.59
339,윤영민,Peng,Najin E-mpire,2,1,1,0.5,2,2,11,1,1,5.5,6.5,0.43
340,김민권,Ares,ESC Ever,15,1,14,0.067,20,51,67,1.3,3.4,4.5,1.7,0.808
341,한기훈,viviD,DetonatioN FM,9,1,8,0.111,7,31,52,0.8,3.4,5.8,1.9,0.769
342,진재승,Firetrap,bbq olivers,4,1,3,0.25,3,10,13,0.8,2.5,3.3,1.6,0.648
343,이채환,Aries,DAMWON GAMING,5,1,4,0.2,6,16,14,1.2,3.2,2.8,1.3,0.544
344,Nyang,Nyang,RoMg,3,1,2,0.333,6,15,16,2,5,5.3,1.5,0.75
345,Sound,Sound,RoMg,3,1,2,0.333,2,6,21,0.7,2,7,3.8,0.777
346,ChuChu,ChuChu,RoMg,3,1,2,0.333,11,6,13,3.7,2,4.3,4,0.75
347,Senryaku,Senryaku,RoMg,3,1,2,0.333,8,9,11,2.7,3,3.7,2.1,0.64
348,Leon,Leon,Little Hippo,3,1,2,0.333,4,12,16,1.3,4,5.3,1.7,0.573
349,ggoni,ggoni,Little Hippo,3,1,2,0.333,2,2,21,0.7,0.7,7,11.5,0.6
350,5gamdo,5gamdo,Little Hippo,3,1,2,0.333,7,8,14,2.3,2.7,4.7,2.6,0.577
351,Kevin,Kevin,Little Hippo,3,1,2,0.333,16,5,16,5.3,1.7,5.3,6.4,0.957
352,TcAL,TcAL,Little Hippo,3,1,2,0.333,5,9,15,1.7,3,5,2.2,0.41
353,Nk Adonis,Nk Adonis,SuperStar,3,1,2,0.333,6,8,18,2,2.7,6,3,0.947
354,YaNgSin,YaNgSin,SuperStar,3,1,2,0.333,2,8,25,0.7,2.7,8.3,3.4,0.833
355,Devil,Devil,SuperStar,3,1,2,0.333,7,9,13,2.3,3,4.3,2.2,0.74
356,SunJa,SunJa,SuperStar,3,1,2,0.333,6,9,15,2,3,5,2.3,0.753
357,gDeveloper,gDeveloper,SuperStar,3,1,2,0.333,7,8,16,2.3,2.7,5.3,2.9,0.933
358,Rounders,Rounders,NeL,3,1,2,0.333,4,13,10,1.3,4.3,3.3,1.1,0.8
359,Kady,Kady,NeL,3,1,2,0.333,4,8,9,1.3,2.7,3,1.6,0.657
360,The other,The other,NeL,3,1,2,0.333,8,5,8,2.7,1.7,2.7,3.2,0.9
361,GodFather,GodFather,NeL,3,1,2,0.333,0,7,17,0,2.3,5.7,2.4,0.967
362,Garnet,Garnet,NeL,3,1,2,0.333,2,8,13,0.7,2.7,4.3,1.9,0.823
363,최현우,CheonGo,Jin Air Greenwings,19,1,18,0.053,28,59,45,1.5,3.1,2.4,1.2,0.588
364,김의주,Trigger,SeolHaeOne Prince,9,1,8,0.111,15,25,18,1.7,2.8,2,1.3,0.521
365,최원영,Kuri,T1,2,1,1,0.5,0,7,9,0,3.5,4.5,1.3,0.31
366,윤용호,Hoya,Griffin,8,1,7,0.125,17,21,15,2.1,2.6,1.9,1.5,0.446
367,정희철,Pecko,CJ Entus,3,0,3,0,4,16,13,1.3,5.3,4.3,1.1,0.7
368,윤승택,Eryuk,CJ Entus,3,0,3,0,7,11,13,2.3,3.7,4.3,1.8,0.783
369,김준섭,emboob,CJ Entus,3,0,3,0,10,12,5,3.3,4,1.7,1.3,0.577
370,신종명,Rewrite,n.Die.Guts,2,0,2,0,3,6,5,1.5,3,2.5,1.3,0.765
371,정인철,Chopap,Team Dark,4,0,4,0,10,14,10,2.5,3.5,2.5,1.4,0.588
372,이재하,Sylph,ROX Tigers,2,0,2,0,10,11,4,5,5.5,2,1.3,0.73
373,이석현,캬하하,Team Nb,6,0,6,0,9,30,7,1.5,5,1.2,0.5,0.348
374,임시현,포니짱짱걸S,Team Nb,6,0,6,0,2,32,14,0.3,5.3,2.3,0.5,0.435
375,오영교,Xenics SSun,Xenics Storm,6,0,6,0,9,37,17,1.5,6.2,2.8,0.7,0.67
376,김동현,Nova,Alienware Andromeda,4,0,4,0,5,17,12,1.3,4.3,3,1,0.653
377,정병욱,Ren,Xenics Storm,6,0,6,0,5,26,19,0.8,4.3,3.2,0.9,0.495
378,최병철,Alvingo,Xencis Storm,6,0,6,0,10,24,25,1.7,4,4.2,1.5,0.662
379,기대한,Expect,G2 Esports,6,0,6,0,7,28,15,1.2,4.7,2.5,0.8,0.573
380,이준우,Nexus,Xenics Storm,6,0,6,0,11,31,19,1.8,5.2,3.2,1,0.753
381,한기현,Lactea,Midas FIO,6,0,6,0,6,25,19,1,4.2,3.2,1,0.648
382,김성진,도마동수달,Bigfile Miracle,6,0,6,0,4,26,18,0.7,4.3,3,0.8,0.555
383,최재현,HuHi,CLG,6,0,6,0,12,19,9,2,3.2,1.5,1.1,0.458
384,호진석,Linlan,Bigfile Miracle,6,0,6,0,1,25,32,0.2,4.2,5.3,1.3,0.715
385,김세영,Procxin,MKZ,6,0,6,0,19,35,29,3.2,5.8,4.8,1.4,0.672
386,김주현,Beast,Bigfile Miracle,6,0,6,0,5,29,19,0.8,4.8,3.2,0.8,0.628
387,김지환,savila,Anarchy,4,0,4,0,5,15,12,1.3,3.8,3,1.1,0.538
388,김형진,이츠 나우,Team Dark,4,0,4,0,8,17,14,2,4.3,3.5,1.3,0.738
389,이상현,crl흑인,Team Dark,4,0,4,0,4,19,14,1,4.8,3.5,0.9,0.538
390,이효창,Plls,Team Dark,4,0,4,0,5,15,16,1.3,3.8,4,1.4,0.633
391,노영진,Gamsu,Fnatic,4,0,4,0,6,12,17,1.5,3,4.3,1.9,0.625
392,김용연,Kite,Arena,4,0,4,0,13,14,9,3.3,3.5,2.3,1.6,0.638
393,곽석호,Jelly,Arena,4,0,4,0,1,9,21,0.3,2.3,5.3,2.4,0.72
394,정윤환,Ridiculus,FOR N GUYS,2,0,2,0,10,7,6,5,3.5,3,2.3,0.94
395,신우영,Seraph,Counter Logic Gaming,1,0,1,0,3,1,0,3,1,0,3,0.75
396,이찬호,Do it,Sbenu,2,0,2,0,4,5,2,2,2.5,1,1.2,0.675
397,이예찬,Scout,EDward Gaming,1,0,1,0,1,2,1,1,2,1,1,1
398,김승후,Dan,Sbenu,1,0,1,0,1,0,2,1,0,2,3.6,0.75
399,김선규,Crow,ROX Tigers,1,0,1,0,2,3,0,2,3,0,0.7,0.67
400,김주성,Olleh,Team Liquid,6,0,6,0,6,33,24,1,5.5,4,0.9,0.778
401,나유준,LuBu,KONGDOO MONSTER,8,0,8,0,4,20,33,0.5,2.5,4.1,1.9,0.823
402,박현규,Kuma,SeolHaeOne Prince,6,0,6,0,8,22,29,1.3,3.7,4.8,1.7,0.665
403,문원희,Clever,한화생명e스포츠,1,0,1,0,3,2,5,3,2,5,4,0.8
404,김태기,Asper,SPEAR GAMING,1,0,1,0,1,2,5,1,2,5,3,0.6
405,문창민,AlphaMong,SeolHaeOne Prince,1,0,1,0,2,3,1,2,3,1,1,0.75
406,Fascinate,Fascinate,샤멘팀,2,0,2,0,9,10,12,4.5,5,6,2.1,0.72
407,Cannot,Cannot,카페팀,2,0,2,0,2,3,3,1,1.5,1.5,1.7,0.45
408,ElecTrouble,ElecTrouble,GJR,3,0,3,0,0,15,10,0,5,3.3,0.7,0.717
409,LongDary,LongDary,GJR,3,0,3,0,5,13,5,1.7,4.3,1.7,0.8,0.717
410,Warpath,Warpath,GJR,3,0,3,0,5,12,3,1.7,4,1,0.7,0.583
411,Senaim,Senaim,GJR,3,0,3,0,2,14,8,0.7,4.7,2.7,0.7,0.7
412,yoshi,yoshi,GJR,3,0,3,0,2,14,9,0.7,4.7,3,0.8,0.783
413,Mad,Mad,PPs,2,0,2,0,3,3,6,1.5,1.5,3,3,0.93
414,Chicken,Chicken,PPs,2,0,2,0,3,6,6,1.5,3,3,1.5,0.93
415,MulrOc,MulrOc,Hunters,2,0,2,0,2,7,7,1,3.5,3.5,1.3,0.93
416,Nymp,Nymp,Hunters,2,0,2,0,0,7,7,0,3.5,3.5,1,0.69
417,FDT,FDT,Hunters,2,0,2,0,4,11,3,2,5.5,1.5,0.6,0.785
418,Acttosin,Acttosin,NEB,2,0,2,0,4,15,13,2,7.5,6.5,1.1,0.52
419,Badagaje,Badagaje,NEB,2,0,2,0,4,13,9,2,6.5,4.5,1,0.435
420,Yaong,Yaong,NEB,2,0,2,0,0,8,19,0,4,9.5,2.4,0.595
421,webtoon,webtoon,XD,2,0,2,0,1,5,6,0.5,2.5,3,1.4,0.69
422,dong,dong,DDoL,2,0,2,0,0,9,7,0,4.5,3.5,0.8,0.44
423,zzamTiger,zzamTiger,DDoL,2,0,2,0,2,5,8,1,2.5,4,2,0.94
424,Chily moon,Chily moon,DDoL,2,0,2,0,3,10,2,1.5,5,1,0.5,0.525
425,Hwatoo,Hwatoo,DDoL,2,0,2,0,3,9,2,1.5,4.5,1,0.6,0.315
426,Rigroch,Rigroch,DDoL,1,0,1,0,3,5,3,3,5,3,1.2,0.75
427,UlMangE,UlMangE,DDoL,1,0,1,0,0,6,1,0,6,1,0.2,0.33
428,최의석,Wizer,Brion Blade,1,0,1,0,0,3,3,0,3,3,1,0.3
429,김태우,Gori,SK Telecom T1,1,0,1,0,2,3,1,2,3,1,1,0.75
430,김형민,Ruin,1907 Fenerbahçe,18,0,18,0,29,53,53,1.6,2.9,2.9,1.5,0.645
