순위, 이름,대표소환사명,최근 소속,M,W,L,승률,TK(,TD,TA,K/M,D/M,A/M,KDA,킬관여
50,권지민,Wraith,Jin Air Greenwings,218,98,120,0.45,122,487,1543,0.6,2.2,7.1,3.4,0.677
51,전익수,ikssu,APK,251,97,154,0.386,463,772,1260,1.8,3.1,5,2.2,0.637
52,장하권,Nuguri,DAMWON Gaming,158,97,61,0.614,540,445,744,3.4,2.8,4.7,2.9,0.621
53,손영민,Mickey,APK Prince,237,96,141,0.405,731,706,1080,3.1,3,4.6,2.6,0.702
54,손우현,Ucal,Griffin,190,96,94,0.505,473,404,839,2.5,2.1,4.4,3.2,0.647
55,여창동,TrAce,Jin Air Greenwings,199,95,104,0.477,395,455,1138,2,2.3,5.7,3.4,0.626
56,김준영,SoHwan,kt rolster,218,94,124,0.431,353,430,844,1.6,2,3.9,2.8,0.565
57,김건부,Canyon,DAMWON Gaming,157,94,63,0.599,307,376,1081,2,2.4,6.9,3.7,0.689
58,강형우,Cpt Jack,Longzhu Gaming,153,93,60,0.608,623,359,816,4.1,2.3,5.3,4,0.649
59,하승찬,Hachani,EVER8 winners,161,92,69,0.571,152,460,1415,0.9,2.9,8.8,3.4,0.717
60,나우형,Pilot,Rockhead,211,92,119,0.436,670,334,894,3.2,1.6,4.2,4.7,0.708
61,김규석,Beyond,DYN,245,92,153,0.376,465,687,1252,1.9,2.8,5.1,2.5,0.714
62,조재걸,Watch,Najin e-mFire,163,90,73,0.552,316,429,1267,1.9,2.6,7.8,3.7,0.687
63,최성원,Sword,Griffin,144,90,54,0.625,329,284,602,2.3,2,4.2,3.3,0.558
64,신진영,CoCo,Longzhu Gaming,179,89,90,0.497,674,411,966,3.8,2.3,5.4,4,0.704
65,선호산,Space,CJ Entus,156,84,72,0.538,692,394,874,4.4,2.5,5.6,4,0.677
66,신정현,Nuclear,DAMWON GAMING,203,82,121,0.404,563,366,858,2.8,1.8,4.2,3.9,0.678
67,조건희,BeryL,DAMWON Gaming,128,82,46,0.641,128,343,1009,1,2.7,7.9,3.3,0.658
68,안준형,Ian,Rockhead,213,80,133,0.376,551,461,854,2.6,2.2,4,3,0.648
69,강민승,Haru,한화생명e스포츠,184,80,104,0.435,425,460,760,2.3,2.5,4.1,2.6,0.689
70,박우태,Summit,SANDBOX Gaming,156,80,76,0.513,364,416,650,2.3,2.7,4.2,2.4,0.616
71,김정민,Life,Gen.G e-sports,144,80,64,0.556,94,287,992,0.7,2,6.9,3.8,0.683
72,정종빈,Max,MVP,212,79,133,0.373,177,518,1247,0.8,2.4,5.9,2.7,0.677
73,강건모,ADD,MVP,208,79,129,0.38,336,599,938,1.6,2.9,4.5,2.1,0.615
74,김장겸,OnFleek,SANDBOX Gaming,153,78,75,0.51,326,349,799,2.1,2.3,5.2,3.2,0.708
75,허만흥,Lindarang,Jin Air Greenwings,209,76,133,0.364,346,512,787,1.7,2.4,3.8,2.2,0.599
76,김태훈,Lava,한화생명e스포츠,178,76,102,0.427,464,386,689,2.6,2.2,3.9,3,0.725
77,배어진,dade,QG Reapers,109,72,37,0.661,583,316,774,5.3,2.9,7.1,4.3,0.691
78,최선호,Chei,H2k-Gaming,162,72,90,0.444,102,407,1198,0.6,2.5,7.4,3.2,0.701
