Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,HERPG,HER%,DRA@15,TD@15,GD@15,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
Afreeca Freecs,S9,KR,46,0.565,1.01,1804,30,1.410416667,12.3,12.2,6.6,5.3,50,65.2,2.59,55.8,0.57,56.5,1.13,0.5,802,0.87,58,33,1723,3.8,1.47,1.69
DAMWON Gaming,S9,KR,44,0.636,1.25,1886,129,1.372916667,13.3,10.4,6.9,4.5,34.1,47.7,2.73,63.8,0.52,53.5,1.02,-0.1,27,0.82,64.6,34.9,1885,3.8,1.49,1.84
Gen.G eSports,S9,KR,44,0.545,1.12,1772,6,1.388194444,9.2,8.3,5.3,5.8,61.4,27.3,1.86,43.6,0.3,30.2,0.59,-0.4,-313,0.7,53.5,33.7,1549,3.9,1.41,1.84
Griffin,S9,KR,42,0.69,1.72,1921,213,1.353472222,11.7,6.8,7.3,3.9,61.9,71.4,2.45,58.1,0.45,45.2,0.79,0.3,1662,0.79,68.9,37.1,1706,3.7,1.44,1.86
Hanwha Life eSports,S9,KR,42,0.357,0.92,1708,-111,1.377777778,9.5,10.3,4.6,7.1,57.1,50,1.57,36.4,0.52,52.4,0.64,-0.2,-484,0.6,37.1,32.3,1527,3.6,1.53,1.7
Jin Air Green Wings,S9,KR,40,0.1,0.52,1624,-312,1.411111111,7.1,13.7,2.5,8.8,40,37.5,1.2,26.3,0.43,42.5,0.53,-0.4,-1353,0.38,24.3,32,1475,4.4,1.73,1.69
Kingzone DragonX,S9,KR,46,0.5,0.94,1789,-1,1.409027778,10.9,11.6,5.7,5.9,50,63,2.26,54.4,0.65,65.2,0.74,0.2,-203,0.63,48.8,33.3,1676,4.3,1.59,1.78
KT Rolster,S9,KR,44,0.364,0.81,1730,-87,1.4375,9.7,11.8,5.5,6.7,54.5,47.7,1.95,42.1,0.55,54.5,0.64,0,-470,0.66,40.5,32.9,1514,3.9,1.4,1.76
Sandbox Gaming,S9,KR,45,0.6,0.94,1804,29,1.417361111,10.5,11.1,6.5,4.9,44.4,48.9,2.73,58,0.53,53.3,0.96,0.1,199,0.78,55.7,34.1,1672,3.8,1.42,1.92
SK Telecom T1,S9,KR,43,0.605,1.18,1836,79,1.433333333,10.6,9,6.7,5.3,46.5,39.5,2.81,58.5,0.44,44.2,0.93,-0.1,33,0.63,47.3,35.1,1707,4.3,1.55,1.84
