Player,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
Ambition,JUNGLE,44,0.5,3.3,2.1,2,4.6,4.9,366,0.685,20.9,386,-,0.77,0.64,0.17,278,7,489,0.341,0.136,0,7
Arrow,ADC,43,0.674,5.6,3.5,1.6,5.5,8.8,406,0.681,25,497,-,0.57,0.37,0.11,-125,-2,-96,0.209,0.023,0,1
Bang,ADC,41,0.634,6.3,3.6,1.3,4.7,9.3,426,0.624,29.1,590,-,0.53,0.25,0.06,134,3,135,0.244,0.024,1,1
Bdd,MID,22,0.409,3.2,2.7,2.6,5.5,8,364,0.835,28,500,-,0.6,0.18,0.07,-113,0,-113,0,0.273,0,1
Bubbling,JUNGLE,46,0.413,2.5,1.3,2.7,5.3,3.7,316,0.646,15.3,277,-,0.84,0.54,0.17,-536,-9,-637,0.217,0.109,0,2
Chaser,JUNGLE,32,0.438,3.7,1.9,2,5.4,4.4,350,0.816,16.2,301,-,0.89,0.54,0.25,63,-1,35,0.5,0.063,0,-
Chei,SUPPORT,42,0.548,3.8,0.6,2,6.8,1.1,251,0.73,6.1,107,-,1.45,0.42,0.39,25,0,70,0.286,0.119,0,-
CoCo,MID,33,0.455,2.9,2.7,2.3,4,8.7,395,0.703,30,574,-,0.66,0.24,0.1,-32,-1,-94,0.333,0.091,0,10
Comeback,SUPPORT,40,0.675,3.9,0.9,2.5,8.9,1.1,260,0.752,6.3,121,-,1.34,0.45,0.31,76,-1,-93,0.275,0.1,0,1
CoreJJ,ADC,29,0.483,3.9,1.9,1.6,4.2,9,392,0.64,24.6,451,-,0.53,0.28,0.05,-137,-1,205,0.138,0.138,0,-
Cpt Jack,ADC,28,0.607,3.7,2.7,1.7,3.7,9.2,412,0.583,29.3,561,-,0.46,0.28,0.06,68,3,75,0.179,0,0,-
Crash,JUNGLE,11,0.636,2.7,2.5,2.8,5.2,4.7,380,0.691,19,347,-,0.85,0.51,0.15,603,10,810,0.182,0.182,0,2
Crown,MID,44,0.5,3.5,2.6,2,4.3,9.2,408,0.707,30.5,557,-,0.62,0.23,0.12,-21,2,69,0.205,0.227,1,11
Crush,JUNGLE,43,0.186,2.1,1.8,2.6,3.7,4.2,321,0.671,15.9,279,-,0.63,0.47,0.12,-230,-1,-116,0.279,0.163,0,-
CuVee,TOP,44,0.5,2.6,1.7,2.4,4.4,7.7,372,0.594,19.4,357,-,0.57,0.15,0.12,-68,-2,-253,0.136,0.091,0,2
Duke,TOP,41,0.634,4.2,2.3,1.8,5.4,8.3,397,0.652,19.1,388,-,0.44,0.14,0.06,176,8,464,0.171,0.024,0,10
Edge,MID,43,0.186,2.8,2.1,2,3.4,8.6,370,0.696,29.4,515,-,0.45,0.18,0.11,-62,1,-23,0.233,0.07,0,8
Expession,TOP,26,0.5,3.6,1.8,1.7,4.2,7.8,379,0.638,18.8,345,-,0.5,0.17,0.08,206,4,171,0.269,0.115,0,2
Faker,MID,40,0.65,4.2,3.4,2.2,5.7,9,431,0.719,31.6,638,-,0.55,0.28,0.08,149,5,146,0.2,0.15,0,17
Flame,TOP,17,0.471,3.3,2.5,2.2,4.6,7.8,389,0.602,19.6,377,-,0.57,0.15,0.13,187,4,76,0.059,0.176,0,6
Flawless,JUNGLE,41,0.22,1.6,1.3,3,3.6,4.1,316,0.668,16.7,271,-,0.9,0.62,0.26,-332,-2,-248,0.317,0.122,0,1
Fly,MID,43,0.674,4.6,2.5,2,6.8,8.2,385,0.727,25,497,-,0.55,0.22,0.14,-105,-3,-8,0.372,0.093,0,5
Frozen,MID,10,0.6,4.7,2.2,1.5,4.9,8.7,413,0.551,27.5,482,-,0.54,0.22,0.09,241,-2,-98,0.2,0.1,0,4
Fury,ADC,15,0.267,3.3,2.7,1.9,3.5,8.7,386,0.622,27.3,502,-,0.51,0.33,0.09,-67,-3,-136,0.333,0,0,1
GorillA,SUPPORT,41,0.829,5.7,0.5,2,10.5,1.2,280,0.72,5.7,117,-,1.33,0.29,0.29,102,1,396,0.366,0.024,0,2
GuGer,SUPPORT,43,0.186,1.9,0.3,3,5.3,1.1,237,0.697,7.3,126,-,1.4,0.36,0.31,-41,1,-157,0.256,0.047,0,1
Hipo,TOP,36,0.194,1.3,1,3.6,3.8,6.8,330,0.596,17.8,308,-,0.54,0.14,0.1,-380,-11,-444,0.194,0.139,0,7
IgNar,SUPPORT,3,0.667,3.6,0.3,1.7,5.7,1.2,245,0.57,5.4,98,-,1.58,0.48,0.34,-137,-1,-485,0.333,0,0,-
Ikssu,TOP,46,0.522,2.8,1.7,2.8,6,7.2,364,0.665,20.3,380,-,0.5,0.18,0.09,-73,-5,-31,0.239,0.13,0,8
Kramer,ADC,46,0.413,4.9,3.7,1.5,3.8,9.5,418,0.744,33.1,617,-,0.62,0.38,0.08,-57,0,181,0.152,0.087,0,3
Kuzan,MID,42,0.548,4.3,2.8,1.7,4.6,8.7,386,0.72,27.9,493,-,0.64,0.28,0.09,133,9,216,0.286,0.024,0,10
Lira,JUNGLE,46,0.522,3.6,2.4,2.3,5.9,4.9,370,0.717,18,340,-,0.7,0.6,0.15,144,4,204,0.348,0.087,0,6
MadLife,SUPPORT,46,0.413,3.6,0.5,2.1,7.1,1,246,0.771,6.5,114,-,1.17,0.39,0.28,-6,0,14,0.239,0.065,0,-
Mickey,MID,46,0.522,3.3,2.8,2.4,5,8.9,414,0.673,26.7,504,-,0.55,0.22,0.11,166,-1,-66,0.304,0.109,0,12
Nuclear,ADC,41,0.22,2.8,2.2,1.9,3,9.2,383,0.698,24.5,413,-,0.42,0.34,0.11,-65,0,-193,0.171,0.049,0,5
Peanut,JUNGLE,41,0.829,6.1,3.7,1.9,7.6,4.4,387,0.757,18.8,388,-,0.58,0.56,0.13,222,-1,-71,0.659,0.024,0,7
Pilot,ADC,42,0.548,5.4,3,1.4,4.5,8.6,394,0.728,25.4,454,-,0.42,0.24,0.05,-139,-5,-171,0.238,0.048,1,-
PraY,ADC,41,0.829,6.5,3.6,1.6,6.8,9,435,0.668,25.8,537,-,0.5,0.23,0.05,282,6,65,0.366,0.024,0,6
Pure,SUPPORT,39,0.487,4.3,0.5,1.7,6.7,1.1,256,0.709,5.8,112,-,1.41,0.47,0.34,-24,-2,-78,0.359,0.077,0,-
Roach,TOP,7,0.143,1,1.3,3.4,2.1,7.4,356,0.697,20.7,333,-,0.55,0.11,0.11,-539,-19,-630,0.429,0.143,0,2
SS,ADC,43,0.186,2.6,2.5,2,2.9,8.9,383,0.696,29.1,507,-,0.46,0.37,0.06,-7,0,-10,0.209,0.14,0,5
SaSin,MID,41,0.22,2,1.9,2.6,3.4,8.5,367,0.781,31.5,528,-,0.59,0.28,0.13,-329,-5,-139,0.22,0.244,0,3
Sangyoon,ADC,46,0.522,5.3,3.7,1.6,4.6,9.1,422,0.726,27.5,523,-,0.45,0.24,0.08,172,2,-32,0.283,0.022,0,4
Score,JUNGLE,43,0.674,4.6,3.1,2.1,6.8,4.5,368,0.738,18.8,369,-,0.73,0.6,0.14,126,0,170,0.442,0.116,0,-
Scout,MID,1,0,1,1,2,1,8.1,375,1,25.3,379,-,0.65,0.3,0.1,-683,-23,-403,0,0,0,1
Secret,SUPPORT,41,0.22,2,0.4,2.5,4.7,1,231,0.711,6.7,109,-,1.42,0.32,0.26,-103,0,137,0.195,0.024,0,-
Sky,MID,24,0.417,2.8,2,2.5,4.8,8.7,386,0.738,25.9,462,-,0.55,0.19,0.1,-179,-6,-178,0.167,0.167,0,3
Smeb,TOP,41,0.829,5.4,3.4,1.9,6.8,8,424,0.665,24.4,507,-,0.49,0.14,0.07,448,8,374,0.341,0.146,0,12
SnowFlower,SUPPORT,46,0.522,4.1,0.6,2.1,8.1,1.1,262,0.755,7.5,141,-,1.17,0.45,0.23,119,-2,231,0.348,0.087,0,-
SoHwan,TOP,1,0,0.3,0,4,1,6.6,287,0.25,13.4,198,-,0.57,0.09,0.13,-1488,-43,-1612,0,0,0,-
SoaR,TOP,10,0.2,2.1,1.1,3,5.2,7.4,350,0.575,16.9,309,-,0.49,0.17,0.07,-5,2,-58,0.2,0.2,0,-
Soul,TOP,31,0.226,1.7,1.3,2.4,2.9,7.3,341,0.684,21.6,334,-,0.53,0.19,0.1,-280,0,-142,0.194,0.129,0,4
Stitch,ADC,15,0.533,3.7,2.9,1.9,4.1,8.8,402,0.563,25.5,479,-,0.42,0.31,0.05,-368,-10,-73,0.067,0.067,1,1
TrAce,TOP,41,0.561,4.1,1.8,1.8,5.5,7.5,371,0.682,24.2,431,-,0.51,0.17,0.11,102,-1,38,0.293,0.22,0,13
Untara,TOP,46,0.413,2.7,1.9,2.7,5.2,7.4,350,0.704,18.2,332,-,0.53,0.17,0.07,-150,2,-44,0.13,0.087,0,10
Winged,JUNGLE,42,0.548,4.5,2,1.7,5.5,4.8,356,0.701,16.7,298,-,0.79,0.69,0.18,202,2,199,0.405,0.048,0,-
Wolf,SUPPORT,41,0.634,4.7,0.4,1.7,7.8,1.4,263,0.634,5.1,104,-,1.35,0.5,0.29,-33,1,-78,0.171,0.122,0,1
Wraith,SUPPORT,44,0.5,4.1,0.4,1.5,5.8,1.1,244,0.574,4.3,79,-,1.57,0.47,0.34,-96,1,-371,0.136,0.068,0,1
Zzus,SUPPORT,4,0.5,2.2,0.3,2.3,4.8,1,245,0.295,6.6,115,-,1.19,0.37,0.3,-196,-4,-321,0,0.25,0,1
bengi,JUNGLE,17,0.647,3.4,1.3,2.4,6.6,3.8,327,0.637,12.6,268,-,0.85,0.58,0.11,-369,-8,-491,0.353,0.294,0,2
