Player,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
Smeb,ADC,1,1,3.7,0,3,11,6,313,0.579,17.6,294,1.05,0.47,0.22,0.39,-576,-39,-382,1,0,0,-
SoHwan,TOP,17,0.412,3.2,2.5,2.1,4.1,8.2,376,0.614,25.2,442,1.14,0.52,0.21,0.22,-201,-4,-177,0.294,0.118,0,3
Spirit,JUNGLE,28,0.536,3.3,1.6,2.4,6.2,5.3,314,0.634,12.9,237,2.12,0.67,0.61,0.37,-142,-3,-260,0.393,0.071,0,3
Summit,TOP,32,0.406,1.9,2.2,3.3,4,8.3,371,0.567,25.8,451,1.16,0.4,0.33,0.25,-6,5,-79,0.188,0.188,0,5
Teddy,ADC,31,0.645,7.3,4.4,1.3,4.8,10.9,470,0.703,30,572,1.59,0.59,0.42,0.17,224,5,59,0.258,0.065,0,4
Trigger,ADC,3,0,1,1.3,3,1.7,8.1,335,0.583,25.8,318,1.32,0.42,0.33,0.16,-791,-16,-524,0.667,0,0,1
TusiN,SUPPORT,23,0.391,2.6,0.3,2.6,6.4,1.2,224,0.72,7.6,130,2.64,1.73,0.42,0.51,60,2,251,0.261,0.087,0,-
TusiN,ADC,2,0.5,1.8,3,4.5,5,5.8,339,0.583,12.5,245,0.81,0.44,0.18,0.25,-926,-31,354,0,0.5,0,1
Ucal,MID,8,0.25,3.2,2.9,2.5,5,9,391,0.728,23.6,437,0.83,0.36,0.19,0.19,-86,0,-74,0.25,0.125,0,1
Viper,ADC,30,0.167,2.8,2.7,1.9,2.6,10.4,422,0.67,33.6,536,1.34,0.49,0.37,0.23,-110,1,-15,0.167,0.033,0,3
Yeongjae,JUNGLE,1,0,0.2,0,5,1,4.5,258,0.5,9.4,121,0.67,0.29,0.14,0.33,-1651,-31,-1475,0,1,0,-
bono,JUNGLE,29,0.414,3,2,2.3,5.1,5.2,314,0.711,11.3,206,1.79,0.6,0.49,0.44,44,-2,-66,0.621,0.034,0,3
deokdam,ADC,32,0.375,2.8,2.2,2.2,3.9,9,391,0.586,25.6,441,1.06,0.37,0.28,0.1,-481,-12,-178,0.125,0.125,0,3
kurO,MID,22,0.455,3.6,1.6,1.8,5,8.3,373,0.637,21.9,400,1.22,0.48,0.31,0.23,-128,-9,-222,0.227,0.045,0,1
