Player,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
ADD,TOP,42,0.31,1.6,1.6,3.4,3.9,7.9,353,0.553,22.9,409,-,0.61,0.18,0.17,-343,-11,-408,0.119,0.286,0,6
Ambition,JUNGLE,37,0.676,3.8,1.7,1.8,5,5.2,352,0.623,12.9,255,-,0.86,0.36,0.25,118,9,185,0.351,0.081,0,2
Bang,ADC,41,0.634,4.9,3,1.5,4.4,9.7,425,0.649,28.6,550,-,0.43,0.21,0.06,247,5,190,0.293,0.024,0,3
Bdd,MID,44,0.705,11.3,4.3,1,6.5,9.1,423,0.777,24.8,511,-,0.5,0.14,0.09,343,5,327,0.25,0,0,4
Beyond,JUNGLE,42,0.31,2.5,1.8,2.8,5.1,4.7,320,0.734,13.6,237,-,0.91,0.39,0.26,-53,11,260,0.286,0.143,0,2
Bless,JUNGLE,45,0.289,2,1.5,2.5,3.7,4.3,312,0.619,12.6,209,-,0.89,0.35,0.26,-285,-7,-276,0.178,0.222,0,4
Cepted,MID,41,0.268,2.4,2.6,2.7,3.7,9.5,396,0.666,28.3,450,-,0.46,0.21,0.15,-60,2,-24,0.122,0.073,0,13
Comeback,JUNGLE,2,0,1.1,1,4.5,4,3.6,281,0.567,11.6,175,-,1.02,0.51,0.35,-404,-20,-295,0,0.5,0,-
Comeback,SUPPORT,12,0.333,2.1,0.6,2.6,4.8,0.9,236,0.614,8.9,134,-,1.32,0.36,0.44,-460,-6,-469,0.083,0.083,0,-
CoreJJ,SUPPORT,44,0.659,4.8,0.5,1.5,6.7,1.3,277,0.679,10.2,191,-,1.31,0.47,0.37,10,2,-26,0.205,0.045,0,-
Crazy,TOP,45,0.289,2.6,1.7,2,3.3,8.4,361,0.584,24.6,408,-,0.59,0.14,0.13,76,7,98,0.111,0.111,0,5
Crow,MID,1,0,0.7,2,3,0,9.3,376,0.667,32.9,399,-,0.4,0.37,0.07,-310,0,-95,0,0,0,-
Crown,MID,44,0.659,3.3,2.6,2,4.1,9.1,406,0.625,26.4,504,-,0.48,0.25,0.17,61,4,71,0.25,0.114,1,9
CuVee,TOP,44,0.659,3.5,2.3,1.8,3.7,8.8,395,0.551,22.3,418,-,0.56,0.17,0.13,-6,0,-10,0.227,0.068,0,21
Cuzz,JUNGLE,44,0.705,4.6,2.4,2,6.5,4.1,344,0.648,14.8,303,-,0.91,0.5,0.21,1,-9,-229,0.455,0.068,0,4
Deft,ADC,47,0.66,5.8,3.4,1.5,5.4,9.6,434,0.618,29,589,-,0.49,0.33,0.15,403,6,281,0.191,0.085,0,3
Deul,ADC,41,0.268,2.8,2.4,2,3.2,9.1,384,0.618,26.6,427,-,0.39,0.28,0.12,-623,-10,-386,0.073,0.073,0,-
Ella,SUPPORT,29,0.241,2,0.5,2.8,5.1,1.2,242,0.588,7.5,123,-,1.42,0.33,0.45,-306,3,-154,0.103,0.138,0,1
Faker,MID,41,0.634,3.4,2.9,2.1,4.2,9.5,419,0.651,27.1,503,-,0.32,0.26,0.1,17,7,215,0.171,0.098,0,8
Ghost,ADC,45,0.289,2.8,2.6,2,3,9.4,393,0.628,27.3,467,-,0.45,0.27,0.17,-105,-2,-82,0.133,0.156,0,-
GorillA,SUPPORT,44,0.705,4.2,1.1,2.2,8.2,1.1,275,0.658,10,209,-,1.4,0.38,0.38,164,1,254,0.25,0.068,0,-
Haru,JUNGLE,7,0.571,2.4,2,1.9,2.4,5,339,0.491,15.3,229,-,0.96,0.45,0.31,183,9,144,0.286,0,0,1
Helper,TOP,21,0.238,2.3,1.2,2.6,4.8,7.4,340,0.618,19.9,330,-,0.57,0.11,0.18,-330,-11,-356,0.333,0.238,0,2
Huni,TOP,16,0.438,1.5,2.1,3.4,3.1,8.9,387,0.597,26.3,477,-,0.46,0.11,0.06,-151,1,-66,0.063,0.25,0,4
Ian,MID,42,0.31,3.1,2.5,2.1,4.2,8.7,382,0.699,28.3,517,-,0.46,0.3,0.14,-228,-6,-219,0.095,0.119,0,7
Ikssu,TOP,21,0.476,2.7,2.1,2.3,4.1,8.2,376,0.653,23.6,419,-,0.58,0.11,0.18,299,6,372,0.238,0.143,1,4
KeY,SUPPORT,44,0.386,2.8,0.6,2.7,7,1.2,261,0.776,8.8,149,-,1.46,0.48,0.36,-31,2,-275,0.205,0.023,0,-
Khan,TOP,43,0.721,4.1,3.2,2.2,5.9,9.1,420,0.637,25.3,516,-,0.57,0.14,0.13,190,0,-32,0.233,0.209,0,22
Kiin,TOP,20,0.3,2.4,1.9,2.1,3.2,8.7,367,0.531,24.5,378,-,0.54,0.17,0.12,-366,-5,-304,0.15,0.15,0,12
Kramer,ADC,48,0.563,4.6,3.2,1.6,4,9.8,430,0.604,26.8,529,-,0.46,0.36,0.1,-153,-5,-30,0.063,0.063,0,2
Kuzan,MID,42,0.5,3.7,2,1.8,4.6,9,394,0.657,26.2,495,-,0.55,0.27,0.16,239,8,143,0.31,0.071,0,11
Lava,MID,21,0.381,2.7,2.7,2.3,3.7,8.7,381,0.746,29,494,-,0.56,0.18,0.13,-369,-7,-336,0.19,0.143,0,1
Lindarang,TOP,33,0.394,2.3,1.8,2.8,4.7,7.9,357,0.611,19.6,335,-,0.56,0.09,0.11,-497,-10,-383,0.182,0.273,0,2
MaHa,ADC,42,0.31,3.4,2.5,1.9,3.9,9.4,399,0.618,26.1,490,-,0.35,0.32,0.09,-76,-4,-149,0.19,0.071,0,2
MaRin,TOP,48,0.563,2.8,2,2.4,4.7,9,392,0.587,21.5,410,-,0.5,0.1,0.05,122,5,287,0.271,0.104,0,8
Malrang,JUNGLE,39,0.282,3.2,1.8,1.9,4.3,4.6,318,0.68,15.1,238,-,1.05,0.37,0.34,-139,-1,26,0.385,0.051,0,4
Mata,SUPPORT,47,0.66,5,0.7,1.9,8.7,0.9,271,0.651,8.2,160,-,1.62,0.43,0.47,129,-2,-60,0.191,0.064,0,-
Max,SUPPORT,42,0.31,3.1,0.8,2.2,6.3,1.2,265,0.695,9.1,156,-,1.2,0.35,0.24,62,-1,224,0.214,0.048,0,1
Mickey,MID,22,0.409,2.6,2.6,2.9,5,8.8,394,0.698,28.2,499,-,0.56,0.2,0.12,-278,-3,-301,0.182,0.136,0,-
Mightybear,JUNGLE,20,0.25,3.1,1.9,2.3,5.3,4.3,311,0.782,14.4,233,-,0.93,0.33,0.23,-445,-6,-422,0.3,0.15,0,-
Mowgli,JUNGLE,6,0.5,2.7,1,2.2,4.8,4.1,320,0.643,12.2,227,-,0.89,0.4,0.28,22,-1,7,0.5,0,0,-
PawN,MID,47,0.66,6,3.4,1.6,6,8.7,411,0.673,23.4,467,-,0.57,0.21,0.16,109,-4,-30,0.17,0.064,0,11
Peanut,JUNGLE,24,0.5,2.8,1.7,2.2,4.5,4.8,339,0.677,12.1,203,-,0.83,0.36,0.15,-135,4,50,0.25,0.042,0,-
